"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
217	0.02	0.002	0.012	0	0.026	0	0.02	0	0.024	0	0.01	0
321	0.076	0.046	0.116	0.032	0.062	0.006	0.082	0.01	0.058	0.008	0.08	0.008
53	0.104	0.034	0.092	0.054	0.128	0.018	0.17	0.038	0.154	0.054	0.146	0.072
57	0.058	0.008	0.056	0.008	0.05	0.002	0.064	0.002	0.046	0.006	0.048	0
181	0.058	0.294	0.034	0.248	0.02	0.056	0.038	0.126	0.04	0.096	0.046	0.158
325	0.194	0.034	0.2	0.016	0.176	0.008	0.228	0.008	0.21	0.004	0.224	0.008
157	0.046	0	0.018	0.002	0.034	0	0.026	0.004	0.026	0.002	0.022	0
313	0.006	0	0.01	0.004	0.008	0.01	0.006	0.004	0.01	0.006	0.008	0.006
301	0.258	0.032	0.3	0.018	0.176	0.002	0.172	0.002	0.162	0.004	0.172	0.002
185	0.148	0.028	0.132	0.05	0.152	0.002	0.11	0.006	0.116	0.004	0.114	0.004
305	0.124	0	0.134	0	0.07	0	0.074	0	0.074	0	0.078	0
297	0.026	0	0.066	0	0.036	0	0.042	0	0.018	0	0.032	0
309	0.136	0.012	0.124	0.02	0.168	0.004	0.14	0.002	0.124	0.004	0.13	0.002
797	0.086	0.002	0.084	0.004	0.06	0.004	0.08	0.008	0.052	0	0.072	0.004
77	0.014	0.002	0.02	0	0.012	0	0.012	0	0.002	0	0.006	0.002
317	0.026	0	0.026	0	0.014	0	0.004	0	0.014	0	0.008	0
145	0.038	0	0.018	0	0.022	0	0.026	0	0.028	0	0.022	0
601	0.666	0.182	0.66	0.078	0.608	0.096	0.64	0.058	0.644	0.088	0.642	0.104
529	0.224	0.01	0.276	0.028	0.146	0.002	0.132	0.004	0.174	0	0.168	0.002
5	0.12	0	0.106	0	0.2	0	0.188	0	0.198	0	0.176	0
21	0.174	0.002	0.146	0.004	0.094	0.01	0.118	0.012	0.102	0.004	0.094	0.008
49	0.134	0.1	0.14	0.1	0.092	0.032	0.118	0.084	0.096	0.026	0.094	0.036
125	0.124	0.022	0.11	0.028	0.118	0.004	0.108	0	0.102	0.002	0.144	0.004
73	0.38	0.038	0.34	0.048	0.256	0.038	0.332	0.016	0.286	0.036	0.286	0.032
241	0.214	0.102	0.216	0.066	0.126	0	0.146	0	0.17	0.006	0.142	0.006
761	0.138	0.094	0.15	0.104	0.476	0.006	0.482	0.014	0.464	0.016	0.412	0.032
281	0.114	0.012	0.132	0.008	0.222	0.002	0.258	0.002	0.286	0.002	0.272	0.004
129	0.162	0.006	0.114	0.004	0.118	0	0.088	0	0.084	0	0.066	0.002
61	0.076	0	0.066	0	0.016	0	0.05	0	0.054	0.002	0.046	0
753	0.098	0.014	0.112	0.024	0.178	0.004	0.172	0.002	0.17	0	0.15	0.002
845	0.224	0	0.28	0	0.172	0	0.194	0	0.184	0	0.194	0
209	0.226	0.024	0.236	0.044	0.182	0.01	0.19	0.018	0.204	0.014	0.154	0.016
757	0.264	0.09	0.252	0.126	0.194	0.01	0.212	0.008	0.22	0.014	0.17	0.008
273	0.04	0	0.05	0	0.034	0	0.026	0	0.02	0	0.038	0
289	0.19	0.026	0.15	0.02	0.086	0.008	0.104	0	0.094	0.006	0.068	0.006
233	0.158	0	0.128	0.002	0.128	0	0.126	0.002	0.146	0	0.114	0
261	0.284	0.108	0.29	0.118	0.2	0.016	0.208	0.02	0.186	0.002	0.214	0.014
285	0.104	0	0.146	0.002	0.078	0.002	0.076	0.002	0.06	0	0.074	0
245	0.142	0.04	0.164	0.064	0.312	0.024	0.268	0.028	0.284	0.024	0.276	0.026
173	0.444	0.202	0.428	0.232	0.656	0.18	0.658	0.212	0.652	0.108	0.634	0.164
293	0.084	0	0.084	0	0.052	0	0.052	0	0.076	0	0.056	0
189	0.022	0	0.018	0	0.012	0	0.008	0	0.016	0	0.008	0
69	0.048	0.002	0.058	0	0.018	0	0.014	0	0.034	0.004	0.016	0
85	0.09	0.002	0.076	0.008	0.052	0.004	0.046	0.002	0.058	0	0.026	0.002
29	0.164	0	0.232	0	0.198	0	0.216	0.002	0.202	0	0.178	0
