"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
189	0.728	0.056	0.74	0.052	0.544	0.004	0.542	0.006	0.556	0.006	0.502	0.004
693	0.37	0.916	0.4	0.764	0.258	0.16	0.226	0.24	0.224	0.256	0.244	0.222
193	0.108	0.024	0.096	0.036	0.092	0.046	0.122	0.026	0.076	0.022	0.096	0.046
689	0.508	0.09	0.526	0.076	0.634	0.008	0.714	0.022	0.656	0.014	0.656	0.012
1357	0.702	0.67	0.71	0.54	0.59	0.368	0.596	0.336	0.566	0.25	0.616	0.318
685	0.924	0.378	0.922	0.56	0.976	0.33	0.96	0.374	0.974	0.316	0.968	0.352
701	0.42	0.366	0.436	0.4	0.882	0.814	0.896	0.75	0.822	0.684	0.876	0.712
697	0.002	0.002	0.008	0.006	0	0.002	0.004	0	0	0	0.002	0.002
125	0.024	0.004	0.026	0.012	0.064	0	0.054	0	0.062	0	0.048	0
1329	0.524	0.616	0.452	0.642	0.29	0.216	0.322	0.246	0.3	0.218	0.278	0.162
1353	0.138	0.006	0.16	0.006	0.224	0	0.246	0.002	0.2	0.004	0.244	0.004
337	0.606	0.306	0.65	0.448	0.498	0.096	0.456	0.066	0.488	0.146	0.484	0.138
333	0.12	0.01	0.114	0.012	0.066	0.004	0.058	0	0.06	0	0.066	0.002
181	0.72	0.122	0.726	0.232	0.546	0.02	0.518	0.036	0.548	0.028	0.522	0.04
229	0.39	0.284	0.428	0.19	0.474	0.188	0.464	0.234	0.456	0.188	0.446	0.156
17	0.06	0.008	0.062	0.012	0.036	0.002	0.042	0	0.046	0.002	0.032	0.002
329	0.13	0.05	0.146	0.034	0.13	0.014	0.154	0.014	0.116	0.01	0.126	0.014
1373	0.896	0.402	0.874	0.464	0.698	0.52	0.714	0.468	0.68	0.546	0.64	0.434
481	0.792	0.244	0.772	0.282	0.83	0.142	0.776	0.106	0.804	0.19	0.77	0.11
137	0.206	0.018	0.238	0.026	0.126	0.01	0.1	0.008	0.158	0.01	0.148	0.002
1377	0.052	0	0.06	0.006	0.03	0	0.036	0.002	0.036	0.002	0.046	0.002
1361	0.238	0.164	0.22	0.116	0.318	0.026	0.282	0.022	0.262	0.022	0.292	0.008
1349	0.032	0.2	0.036	0.136	0.022	0.026	0.018	0.026	0.02	0.026	0.016	0.04
201	0.314	0.036	0.32	0.022	0.168	0.022	0.176	0.008	0.19	0.01	0.168	0.026
529	0.354	0.08	0.304	0.064	0.308	0.016	0.316	0.016	0.296	0.01	0.27	0.006
