"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
1	0.182	0.197	0.177	0.2	0.103	0.014	0.126	0.005	0.103	0.011	0.097	0.001
2	0.807	0.971	0.785	0.454	0.517	0.026	0.498	0.04	0.517	0.034	0.511	0.032
201	0.215	0.192	0.192	0.142	0.112	0.013	0.125	0.008	0.112	0.005	0.122	0.011
401	0.769	0.955	0.741	0.968	0.768	0.446	0.768	0.504	0.768	0.447	0.752	0.506
601	0.273	0.278	0.278	0.329	0.181	0.041	0.209	0.037	0.181	0.04	0.19	0.027
3	0.31	0.278	0.318	0.274	0.184	0.045	0.212	0.055	0.184	0.037	0.205	0.05
202	0.403	0.193	0.389	0.185	0.337	0.03	0.32	0.052	0.337	0.042	0.329	0.053
801	0.175	0.261	0.141	0.231	0.125	0.027	0.128	0.029	0.125	0.013	0.123	0.031
1001	0.008	0.096	0.01	0.091	0.006	0	0.009	0	0.006	0	0.01	0
402	0.762	0.649	0.756	0.676	0.699	0.169	0.699	0.164	0.699	0.102	0.705	0.162
602	0.36	0.093	0.357	0.098	0.228	0.006	0.205	0.008	0.228	0.004	0.212	0.004
4	0.219	0.21	0.198	0.122	0.144	0.002	0.147	0.008	0.144	0.007	0.151	0.007
203	0.236	0.159	0.245	0.154	0.195	0.048	0.16	0.055	0.195	0.043	0.195	0.034
802	0.381	0.494	0.412	0.494	0.259	0.095	0.244	0.071	0.259	0.07	0.222	0.074
1002	0.889	0.872	0.866	0.735	0.855	0.208	0.878	0.214	0.855	0.263	0.878	0.198
403	0.077	0.189	0.093	0.212	0.046	0.003	0.049	0.005	0.046	0.008	0.058	0.002
603	0.269	0.644	0.314	0.694	0.171	0.093	0.166	0.133	0.171	0.125	0.172	0.134
5	0.442	0.401	0.438	0.43	0.282	0.08	0.3	0.051	0.282	0.083	0.345	0.069
204	0.248	0.191	0.197	0.16	0.098	0.013	0.102	0.015	0.098	0.008	0.114	0.006
1003	0.58	0.506	0.522	0.382	0.706	0.165	0.707	0.196	0.706	0.186	0.684	0.184
803	0.448	0.781	0.454	0.785	0.264	0.365	0.259	0.364	0.264	0.322	0.226	0.382
404	0.063	0.221	0.069	0.257	0.091	0.018	0.085	0.016	0.091	0.011	0.072	0.018
1201	0.032	0.133	0.028	0.142	0.012	0	0.019	0	0.012	0	0.009	0
604	0.55	0.334	0.566	0.417	0.39	0.089	0.363	0.096	0.39	0.103	0.371	0.115
6	0.957	0.613	0.952	0.624	0.772	0.285	0.756	0.344	0.772	0.401	0.78	0.361
205	0.269	0.357	0.252	0.26	0.112	0.055	0.141	0.06	0.112	0.056	0.137	0.062
1004	0.425	0.556	0.411	0.6	0.221	0.112	0.236	0.079	0.221	0.133	0.239	0.103
804	0.155	0.947	0.136	0.918	0.21	0.16	0.184	0.22	0.21	0.252	0.191	0.183
405	0.109	0.187	0.128	0.19	0.069	0.015	0.07	0.015	0.069	0.018	0.059	0.012
1202	0.299	0.761	0.296	0.77	0.42	0.133	0.429	0.17	0.42	0.181	0.442	0.167
605	0.209	0.251	0.182	0.219	0.073	0.011	0.11	0.012	0.073	0.009	0.103	0.005
7	0.124	0.083	0.095	0.081	0.054	0.001	0.05	0.001	0.054	0.002	0.048	0.003
206	0.576	0.879	0.621	0.86	0.474	0.487	0.46	0.511	0.474	0.455	0.478	0.527
1005	0.66	0.96	0.64	0.86	0.88	0.804	0.837	0.674	0.88	0.775	0.843	0.678
805	0.483	0.438	0.469	0.599	0.289	0.281	0.274	0.226	0.289	0.278	0.29	0.263
406	0.618	0.608	0.603	0.624	0.392	0.067	0.385	0.052	0.392	0.067	0.381	0.054
1203	0.265	0.281	0.281	0.236	0.147	0.015	0.16	0.015	0.147	0.007	0.14	0.016
606	0.289	0.364	0.266	0.365	0.146	0.035	0.174	0.028	0.146	0.031	0.143	0.032
8	0.743	0.68	0.705	0.582	0.525	0.234	0.512	0.196	0.525	0.206	0.533	0.235
207	0.458	0.66	0.432	0.96	0.361	0.148	0.374	0.193	0.361	0.147	0.338	0.162
1006	0.15	0.434	0.164	0.392	0.192	0.26	0.167	0.247	0.192	0.265	0.167	0.193
407	0.242	0.187	0.273	0.198	0.267	0.015	0.233	0.017	0.267	0.033	0.259	0.017
806	0.324	0.593	0.334	0.638	0.231	0.156	0.226	0.128	0.231	0.113	0.205	0.096
