"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
5	0.976	0.754	0.972	0.776	0.968	0.156	0.974	0.088	0.994	0.61	0.99	0.702
73	0.018	0.208	0.03	0.174	0.03	0.106	0.034	0.1	0.032	0.076	0.022	0.08
253	0.752	0.96	0.758	0.978	0.804	0.9	0.788	0.91	0.864	0.774	0.848	0.778
69	0.594	0.746	0.588	0.668	0.37	0.082	0.436	0.112	0.408	0.23	0.432	0.314
93	0.418	0.738	0.41	0.582	0.462	0.292	0.502	0.258	0.512	0.35	0.514	0.314
429	0.372	0.116	0.368	0.138	0.296	0.048	0.308	0.054	0.356	0.028	0.324	0.052
97	0.97	0.652	0.984	0.726	0.82	0.172	0.846	0.134	0.932	0.484	0.918	0.462
373	0.638	0.834	0.66	0.858	0.526	0.334	0.562	0.368	0.416	0.56	0.424	0.582
85	0.364	0.004	0.384	0.004	0.368	0	0.376	0	0.434	0.014	0.448	0.024
261	0.93	0.958	0.918	0.948	0.71	0.764	0.724	0.83	0.794	0.744	0.806	0.668
101	0.338	0.02	0.38	0.052	0.276	0.002	0.27	0	0.294	0.006	0.29	0
77	0.34	0.202	0.374	0.192	0.71	0.192	0.698	0.158	0.572	0.492	0.542	0.396
285	0.948	0.972	0.944	0.976	0.7	0.37	0.658	0.294	0.212	0.308	0.186	0.256
421	0.742	0.114	0.738	0.112	0.468	0.002	0.474	0.01	0.544	0.026	0.484	0.02
81	0.756	0.36	0.744	0.442	0.522	0.352	0.516	0.438	0.612	0.31	0.624	0.348
65	0.702	0.23	0.67	0.304	0.596	0.244	0.59	0.212	0.696	0.236	0.7	0.246
513	0.546	0.548	0.528	0.516	0.568	0.084	0.53	0.062	0.402	0.096	0.394	0.056
