"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
121	0.698	0.518	0.544	0.448	0.796	0.816	0.726	0.77	0.766	0.798	0.82	0.764
205	0.486	0.284	0.312	0.194	0.76	0.896	0.63	0.898	0.518	0.842	0.612	0.882
377	0.368	0.344	0.576	0.158	0.212	0.492	0.374	0.768	0.25	0.546	0.418	0.754
273	0.954	0.974	0.958	0.902	0.67	0.812	0.66	0.848	0.762	0.838	0.802	0.858
65	0.972	0.822	0.972	0.782	0.716	0.594	0.728	0.604	0.782	0.736	0.816	0.664
57	0.704	0.64	0.884	0.48	0.584	0.82	0.752	0.752	0.634	0.714	0.848	0.736
41	0.942	0.658	0.934	0.402	0.882	0.328	0.858	0.434	0.542	0.396	0.496	0.254
61	0.796	0.616	0.806	0.292	0.596	0.396	0.652	0.574	0.706	0.502	0.752	0.586
125	0.482	0.844	0.578	0.828	0.47	0.342	0.48	0.33	0.478	0.432	0.322	0.424
29	0.336	0.268	0.526	0.328	0.114	0.366	0.192	0.504	0.136	0.32	0.206	0.472
233	0.912	0.98	0.932	0.988	0.968	0.926	0.952	0.932	0.564	0.65	0.58	0.618
181	0.116	0.802	0.146	0.842	0.056	0.168	0.05	0.198	0.09	0.202	0.086	0.244
45	0.164	0.244	0.242	0.292	0.106	0.088	0.146	0.092	0.532	0.714	0.608	0.696
333	0.894	0.77	0.838	0.732	0.61	0.9	0.5	0.824	0.694	0.43	0.606	0.382
265	0.854	0.948	0.856	0.952	0.752	0.418	0.738	0.47	0.818	0.524	0.792	0.45
285	0.582	0.792	0.684	0.894	0.82	0.794	0.906	0.782	0.862	0.954	0.886	0.968
277	0.108	0.702	0.098	0.496	0.09	0.22	0.102	0.24	0.612	0.662	0.638	0.718
25	0.684	0.874	0.802	0.876	0.478	0.608	0.588	0.67	0.764	0.688	0.788	0.736
317	0.824	0.788	0.668	0.662	0.802	0.8	0.804	0.762	0.834	0.846	0.808	0.874
381	0.956	0.64	0.982	0.506	0.748	0.718	0.784	0.652	0.228	0.274	0.23	0.218
249	0.756	0.742	0.714	0.594	0.858	0.626	0.858	0.722	0.47	0.636	0.444	0.676
261	0.742	0.716	0.826	0.734	0.462	0.828	0.514	0.918	0.23	0.526	0.352	0.768
137	0.872	0.606	0.904	0.664	0.556	0.144	0.658	0.124	0.142	0.042	0.178	0.114
353	0.708	0.988	0.764	0.954	0.624	0.928	0.62	0.906	0.65	0.758	0.752	0.726
217	0.916	0.772	0.872	0.634	0.72	0.63	0.682	0.632	0.6	0.474	0.62	0.52
325	0.946	0.932	0.916	0.89	0.408	0.29	0.46	0.306	0.612	0.858	0.626	0.836
177	0.704	0.734	0.686	0.426	0.618	0.834	0.59	0.786	0.726	0.916	0.718	0.936
309	0.376	0.85	0.548	0.892	0.56	0.622	0.678	0.548	0.5	0.692	0.612	0.516
221	0.682	0.942	0.626	0.818	0.686	0.648	0.666	0.652	0.698	0.8	0.704	0.844
245	0.824	0.916	0.808	0.924	0.69	0.968	0.678	0.94	0.75	0.882	0.794	0.91
93	0.436	0.992	0.428	0.984	0.226	0.546	0.208	0.49	0.264	0.598	0.226	0.56
13	0.136	0.38	0.186	0.508	0.084	0.02	0.092	0.1	0.066	0.06	0.094	0.124
105	0.186	0.488	0.152	0.496	0.064	0.13	0.046	0.108	0.676	0.908	0.664	0.87
5	0.512	0.762	0.514	0.834	0.874	0.48	0.838	0.462	0.646	0.52	0.71	0.48
81	0.9	0.804	0.906	0.81	0.904	0.822	0.924	0.788	0.802	0.71	0.808	0.746
113	0.936	0.952	0.926	0.98	0.792	0.964	0.722	0.95	0.868	0.836	0.81	0.822
301	0.95	0.556	0.954	0.562	0.792	0.762	0.862	0.672	0.566	0.484	0.57	0.554
85	0.888	0.806	0.958	0.748	0.97	0.822	0.986	0.852	0.958	0.992	0.908	0.982
