"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
149	0.478	0.216	0.474	0.272	0.266	0.436	0.272	0.36	0.352	0.402	0.378	0.374
213	0.848	0.598	0.82	0.584	0.664	0.124	0.632	0.138	0.126	0.234	0.128	0.188
229	0.198	0.062	0.178	0.04	0.122	0.028	0.148	0.038	0.136	0.182	0.132	0.172
289	0.572	0.156	0.648	0.292	0.786	0.46	0.802	0.416	0.182	0.094	0.158	0.046
61	0.904	0.438	0.906	0.492	0.786	0.812	0.726	0.774	0.738	0.738	0.768	0.764
265	0.298	0.392	0.264	0.352	0.264	0.354	0.276	0.378	0.368	0.402	0.298	0.346
365	0.49	0.282	0.49	0.308	0.516	0.506	0.484	0.496	0.572	0.264	0.52	0.264
69	0.33	0.16	0.362	0.21	0.548	0.276	0.494	0.3	0.102	0.004	0.144	0
77	0.548	0.358	0.516	0.298	0.312	0.076	0.246	0.092	0.226	0.014	0.252	0.008
433	0.848	0.346	0.836	0.31	0.896	0.926	0.938	0.932	0.464	0.448	0.446	0.304
409	0.384	0.406	0.288	0.234	0.256	0.068	0.222	0.096	0.338	0.062	0.282	0.062
269	0.676	0.41	0.694	0.416	0.502	0.174	0.43	0.192	0.568	0.124	0.538	0.13
329	0.196	0.124	0.228	0.162	0.2	0.08	0.238	0.152	0.28	0.074	0.27	0.144
25	0.658	0.476	0.68	0.432	0.672	0.592	0.664	0.668	0.76	0.766	0.714	0.644
9	0.044	0.19	0.054	0.158	0.01	0.024	0.022	0.044	0.018	0.048	0.018	0.042
241	0.33	0.168	0.27	0.174	0.508	0.048	0.554	0.066	0.294	0.114	0.32	0.068
161	0.394	0.33	0.338	0.246	0.478	0.372	0.482	0.42	0.588	0.448	0.588	0.378
53	0.758	0.682	0.732	0.674	0.436	0.642	0.4	0.586	0.494	0.562	0.53	0.498
445	0.538	0.62	0.6	0.584	0.296	0.482	0.316	0.448	0.272	0.516	0.302	0.502
189	0.126	0.042	0.11	0.03	0.572	0.582	0.516	0.61	0.156	0.074	0.156	0.064
209	0.006	0.016	0.016	0.03	0.002	0.002	0.006	0	0.01	0.002	0.006	0.002
89	0.284	0.318	0.308	0.302	0.252	0.308	0.232	0.31	0.204	0.274	0.162	0.256
173	0.232	0.144	0.252	0.102	0.658	0.67	0.638	0.62	0.73	0.7	0.73	0.696
393	0.454	0.162	0.452	0.134	0.294	0.012	0.304	0.008	0.328	0.036	0.336	0.026
457	0.614	0.086	0.658	0.188	0.89	0.954	0.872	0.98	0.924	0.984	0.914	0.97
181	0.9	0.846	0.912	0.87	0.744	0.432	0.744	0.518	0.118	0.186	0.104	0.204
377	0.21	0.016	0.266	0.024	0.204	0.072	0.27	0.108	0.276	0.03	0.266	0.046
437	0.106	0.194	0.142	0.252	0.088	0.046	0.128	0.07	0.082	0.04	0.092	0.07
497	0.542	0.386	0.538	0.28	0.332	0.208	0.27	0.2	0.356	0.212	0.332	0.158
185	0.222	0.028	0.202	0.028	0.282	0.026	0.228	0.03	0.366	0.076	0.324	0.076
233	0.05	0.06	0.044	0.126	0.13	0.034	0.13	0.004	0.016	0.012	0.022	0
41	0.666	0.212	0.63	0.162	0.65	0.452	0.642	0.448	0.084	0.1	0.106	0.052
325	0.096	0.162	0.138	0.172	0.352	0.172	0.368	0.278	0.08	0	0.08	0.002
281	0.436	0.138	0.416	0.188	0.236	0.066	0.23	0.042	0.336	0.052	0.318	0.082
513	0.218	0.076	0.238	0.144	0.12	0.13	0.112	0.156	0.118	0.098	0.142	0.122
373	0.148	0.028	0.144	0.014	0.16	0.118	0.164	0.1	0.102	0.1	0.116	0.108
45	0.18	0.55	0.22	0.58	0.082	0.148	0.096	0.206	0.12	0.194	0.12	0.164
573	0.846	0.96	0.788	0.97	0.898	0.746	0.874	0.756	0.982	0.892	0.954	0.858
705	0.148	0.042	0.146	0.042	0.152	0.038	0.16	0.038	0.196	0.026	0.144	0.042
33	0.772	0.362	0.832	0.414	0.902	0.482	0.888	0.492	0.76	0.498	0.71	0.488
193	0.76	0.212	0.814	0.244	0.518	0.082	0.504	0.072	0.478	0.154	0.484	0.152
177	0.856	0.782	0.844	0.778	0.734	0.558	0.744	0.602	0.504	0.558	0.502	0.534
113	0.652	0.242	0.672	0.304	0.752	0.776	0.778	0.794	0.816	0.626	0.82	0.576
137	0.154	0.456	0.176	0.404	0.088	0.174	0.11	0.148	0.114	0.11	0.128	0.148
557	0.578	0.162	0.556	0.178	0.672	0.42	0.674	0.43	0.712	0.514	0.786	0.52
353	0.414	0.116	0.438	0.048	0.242	0.004	0.242	0.01	0.188	0.08	0.178	0.038
313	0.4	0.106	0.364	0.146	0.608	0.44	0.64	0.486	0.644	0.672	0.638	0.594
97	0.782	0.256	0.766	0.192	0.814	0.6	0.82	0.608	0.698	0.752	0.726	0.774
537	0.878	0.34	0.86	0.362	0.772	0.252	0.812	0.234	0.16	0.014	0.178	0.02
57	0.588	0.216	0.588	0.232	0.668	0.496	0.66	0.426	0.214	0.096	0.182	0.064
321	0.422	0.07	0.302	0.036	0.724	0.24	0.698	0.228	0.516	0.402	0.57	0.396
425	0.23	0.002	0.226	0.006	0.098	0	0.114	0	0.018	0	0.014	0
21	0.174	0.018	0.172	0.014	0.08	0	0.11	0	0.086	0.004	0.09	0.01
261	0.562	0.134	0.53	0.12	0.782	0.458	0.792	0.52	0.816	0.64	0.808	0.62
401	0.008	0.002	0.01	0.002	0.018	0	0.03	0.002	0.026	0	0.026	0
169	0.822	0.444	0.808	0.364	0.54	0.674	0.536	0.776	0.67	0.364	0.69	0.31
601	0.294	0.014	0.312	0.014	0.138	0.002	0.14	0	0.172	0.008	0.186	0.002
285	0.012	0.018	0.026	0.036	0.02	0.032	0.02	0.032	0.01	0.006	0.006	0.014
333	0.23	0.33	0.26	0.364	0.304	0.062	0.266	0.116	0.274	0.06	0.238	0.18
617	0.164	0.278	0.128	0.188	0.062	0.026	0.064	0.036	0.11	0.054	0.098	0.052
613	0.346	0.61	0.396	0.64	0.246	0.382	0.306	0.428	0.312	0.272	0.31	0.28
545	0.49	0.186	0.47	0.248	0.316	0.01	0.334	0.02	0.46	0.304	0.506	0.276
673	0.578	0.274	0.592	0.248	0.538	0.212	0.56	0.32	0.116	0.006	0.124	0.004
389	0.358	0.412	0.422	0.342	0.58	0.28	0.528	0.256	0.424	0.064	0.442	0.084
593	0.116	0.064	0.15	0.064	0.11	0.022	0.1	0.022	0.126	0.026	0.124	0.02
277	0.952	0.68	0.948	0.624	0.878	0.62	0.894	0.638	0.812	0.634	0.806	0.698
117	0.114	0.094	0.108	0.07	0.04	0.054	0.038	0.058	0.1	0.078	0.08	0.096
421	0.694	0.334	0.726	0.304	0.506	0.046	0.454	0.044	0.39	0.07	0.358	0.072
649	0.238	0.008	0.216	0.024	0.122	0.008	0.154	0.008	0.172	0.014	0.176	0.002
501	0.122	0.012	0.148	0.004	0.402	0.074	0.37	0.098	0.044	0.01	0.054	0.012
5	0.358	0.046	0.302	0.048	0.134	0.004	0.156	0.004	0.24	0.076	0.214	0.132
293	0.32	0.028	0.3	0.038	0.718	0.388	0.706	0.382	0.074	0.016	0.084	0.024
441	0.096	0.162	0.096	0.122	0.034	0.044	0.038	0.04	0.102	0.034	0.064	0.048
657	0.276	0.22	0.322	0.198	0.178	0.042	0.164	0.038	0.132	0.004	0.14	0
625	0.468	0.402	0.446	0.49	0.432	0.624	0.434	0.66	0.474	0.618	0.422	0.59
609	0.27	0.038	0.314	0.026	0.722	0.346	0.714	0.286	0.19	0.014	0.194	0.018
621	0.252	0.014	0.254	0.01	0.138	0	0.146	0	0.19	0.052	0.17	0.064
449	0.746	0.312	0.8	0.33	0.522	0.076	0.476	0.156	0.554	0.176	0.57	0.158
245	0.374	0.53	0.38	0.5	0.446	0.238	0.408	0.126	0.352	0.168	0.33	0.132
105	0.464	0.076	0.482	0.07	0.214	0.008	0.258	0.014	0.144	0.008	0.14	0.01
301	0.976	0.64	0.952	0.552	0.844	0.762	0.834	0.748	0.116	0.106	0.13	0.09
541	0.264	0.104	0.246	0.084	0.168	0.022	0.19	0.032	0.206	0.046	0.176	0.048
685	0.288	0.346	0.298	0.288	0.148	0.114	0.134	0.106	0.16	0.08	0.132	0.072
1	0.084	0.016	0.058	0.026	0.116	0.02	0.126	0.018	0.058	0.006	0.044	0.008
809	0.388	0.236	0.424	0.234	0.382	0.25	0.36	0.218	0.43	0.28	0.458	0.372
93	0.03	0.008	0.032	0.032	0.07	0.02	0.064	0.016	0.002	0.002	0.008	0
357	0.35	0.11	0.322	0.084	0.218	0.01	0.206	0.012	0.152	0	0.166	0.002
397	0.492	0.144	0.472	0.156	0.648	0.51	0.666	0.534	0.182	0.104	0.162	0.12
1005	0.672	0.236	0.658	0.234	0.814	0.69	0.8	0.68	0.84	0.692	0.868	0.746
653	0.638	0.262	0.666	0.338	0.802	0.748	0.81	0.772	0.826	0.744	0.856	0.788
689	0.888	0.912	0.906	0.892	0.688	0.768	0.734	0.728	0.818	0.714	0.834	0.742
661	0.982	0.788	0.99	0.77	0.956	0.966	0.936	0.912	0.612	0.726	0.59	0.788
949	0.838	0.648	0.832	0.63	0.936	0.616	0.92	0.686	0.968	0.948	0.946	0.942
121	0.752	0.27	0.758	0.33	0.428	0.73	0.432	0.696	0.42	0.35	0.416	0.288
381	0.51	0.142	0.452	0.114	0.324	0.114	0.296	0.212	0.278	0.126	0.362	0.252
273	0.716	0.42	0.714	0.332	0.456	0.378	0.578	0.528	0.6	0.164	0.532	0.142
721	0.224	0.744	0.22	0.62	0.136	0.182	0.16	0.218	0.162	0.076	0.18	0.088
925	0.54	0.168	0.508	0.148	0.954	0.998	0.962	0.998	0.984	0.896	0.982	0.912
713	0.9	0.516	0.896	0.464	0.6	0.164	0.576	0.084	0.646	0.11	0.654	0.098
725	0.396	0.152	0.428	0.222	0.234	0.034	0.258	0.018	0.26	0.018	0.25	0.054
577	0.358	0.07	0.326	0.028	0.182	0	0.148	0.002	0.028	0.004	0.024	0.002
129	0.642	0.31	0.658	0.362	0.322	0.112	0.36	0.09	0.226	0.146	0.236	0.146
385	0.348	0.128	0.386	0.13	0.732	0.488	0.662	0.404	0.28	0.052	0.322	0.054
49	0.272	0.184	0.286	0.244	0.126	0.036	0.126	0.024	0.202	0.012	0.218	0.01
597	0.084	0.012	0.046	0.01	0.026	0	0.022	0	0.05	0	0.026	0
909	0.354	0.278	0.384	0.33	0.308	0.02	0.342	0.016	0.372	0.168	0.388	0.23
813	0.702	0.774	0.714	0.748	0.526	0.626	0.584	0.708	0.65	0.638	0.648	0.682
897	0.266	0.082	0.266	0.042	0.84	0.568	0.836	0.628	0.27	0.168	0.356	0.184
505	0.344	0.028	0.406	0.062	0.18	0.01	0.188	0.018	0.224	0.018	0.212	0.024
217	0.256	0.052	0.28	0.076	0.168	0.002	0.146	0.002	0.116	0.008	0.09	0.004
101	0.332	0.246	0.334	0.186	0.366	0.126	0.386	0.152	0.418	0.112	0.388	0.146
165	0.234	0.078	0.214	0.07	0.098	0.002	0.146	0.002	0.15	0.014	0.134	0.032
841	0.642	0.268	0.698	0.31	0.55	0.382	0.558	0.352	0.3	0.276	0.294	0.318
665	0.438	0.046	0.466	0.05	0.464	0.078	0.432	0.098	0.32	0.104	0.336	0.174
157	0.17	0.024	0.152	0.014	0.134	0	0.11	0.002	0.146	0.012	0.172	0.014
881	0.092	0.074	0.12	0.106	0.058	0.05	0.072	0.026	0.058	0.006	0.044	0.008
837	0.502	0.656	0.556	0.734	0.32	0.274	0.284	0.304	0.366	0.4	0.32	0.312
469	0.25	0.054	0.248	0.062	0.236	0.092	0.262	0.042	0.1	0.064	0.106	0.068
477	0.54	0.362	0.484	0.21	0.43	0.132	0.424	0.102	0.206	0.164	0.242	0.194
29	0.1	0.004	0.086	0.018	0.084	0.012	0.078	0.024	0.034	0.026	0.036	0.026
405	0.058	0.182	0.098	0.302	0.05	0.078	0.042	0.07	0.074	0.016	0.08	0.014
1033	0.864	0.722	0.904	0.812	0.82	0.85	0.864	0.856	0.884	0.968	0.88	0.97
549	0.438	0.06	0.466	0.06	0.45	0.018	0.416	0.016	0.432	0.16	0.528	0.172
109	0.548	0.096	0.544	0.094	0.616	0.352	0.658	0.34	0.694	0.38	0.672	0.306
917	0.822	0.582	0.84	0.698	0.532	0.244	0.53	0.124	0.598	0.212	0.61	0.202
1097	0.76	0.288	0.742	0.348	0.458	0.054	0.49	0.062	0.23	0.046	0.232	0.046
485	0.186	0.022	0.138	0.024	0.196	0.024	0.142	0.036	0.046	0	0.02	0
733	0.274	0.11	0.252	0.108	0.188	0.028	0.178	0.022	0.062	0.008	0.076	0.022
737	0.384	0.146	0.372	0.158	0.156	0.018	0.132	0.02	0.232	0.04	0.196	0.036
1225	0.17	0.092	0.166	0.086	0.106	0.014	0.088	0.026	0.154	0.024	0.18	0.03
885	0.204	0.172	0.194	0.122	0.672	0.706	0.696	0.628	0.548	0.156	0.546	0.214
645	0.024	0.106	0.032	0.086	0.014	0.034	0.002	0.038	0.028	0.04	0.018	0.036
953	0.75	0.416	0.75	0.492	0.74	0.184	0.76	0.19	0.828	0.626	0.806	0.618
629	0.658	0.166	0.572	0.156	0.418	0.074	0.47	0.076	0.49	0.158	0.518	0.134
221	0.142	0.02	0.118	0.008	0.132	0.066	0.132	0.058	0.166	0.026	0.134	0.012
849	0.09	0.116	0.092	0.068	0.056	0.036	0.08	0.062	0.1	0.06	0.066	0.032
1129	0.302	0.314	0.326	0.472	0.272	0.486	0.246	0.488	0.322	0.48	0.348	0.474
153	0.64	0.21	0.578	0.164	0.47	0.138	0.514	0.114	0.522	0.078	0.488	0.062
521	0.336	0.056	0.288	0.036	0.674	0.87	0.644	0.81	0.468	0.5	0.472	0.69
585	0.49	0.298	0.464	0.202	0.728	0.854	0.718	0.816	0.638	0.75	0.6	0.736
697	0.616	0.714	0.65	0.798	0.874	0.916	0.852	0.892	0.898	0.788	0.89	0.808
473	0.66	0.32	0.672	0.326	0.894	0.652	0.924	0.652	0.57	0.436	0.538	0.36
369	0.164	0.222	0.178	0.284	0.496	0.358	0.49	0.406	0.48	0.246	0.456	0.194
1073	0.49	0.828	0.464	0.826	0.628	0.428	0.64	0.436	0.69	0.4	0.746	0.482
81	0.296	0.054	0.268	0.054	0.298	0.096	0.278	0.034	0.268	0.072	0.266	0.064
641	0.366	0.104	0.376	0.094	0.324	0.064	0.306	0.032	0.302	0.062	0.316	0.07
249	0.196	0.11	0.246	0.16	0.24	0.16	0.238	0.184	0.056	0.004	0.062	0.014
677	0.934	0.682	0.95	0.606	0.774	0.932	0.75	0.914	0.32	0.464	0.324	0.474
1009	0.174	0.226	0.166	0.294	0.19	0.024	0.146	0.034	0.222	0.032	0.232	0.032
257	0.616	0.496	0.622	0.538	0.63	0.122	0.604	0.196	0.668	0.174	0.674	0.214
717	0.32	0.538	0.334	0.46	0.324	0.558	0.282	0.468	0.424	0.51	0.36	0.514
1273	0.124	0.456	0.164	0.578	0.076	0.192	0.072	0.208	0.09	0.208	0.096	0.156
317	0.198	0.024	0.172	0.016	0.112	0	0.12	0	0.092	0.006	0.056	0.004
1213	0.912	0.572	0.894	0.482	0.61	0.114	0.642	0.094	0.436	0.092	0.484	0.12
857	0.252	0.066	0.312	0.074	0.286	0.118	0.286	0.108	0.196	0.216	0.184	0.164
349	0.216	0.256	0.192	0.122	0.36	0.178	0.38	0.15	0.31	0.016	0.33	0.018
481	0.39	0.208	0.392	0.22	0.182	0.022	0.202	0.02	0.244	0.032	0.226	0.036
417	0.09	0.32	0.138	0.404	0.252	0.3	0.248	0.456	0.318	0.018	0.322	0.012
1045	0.904	0.848	0.92	0.88	0.816	0.668	0.826	0.702	0.944	0.942	0.944	0.966
1205	0.534	0.15	0.55	0.116	0.592	0.49	0.624	0.53	0.16	0.06	0.188	0.048
605	0.262	0.008	0.294	0.014	0.596	0.444	0.596	0.496	0.032	0.004	0.034	0
757	0.346	0.084	0.356	0.084	0.206	0.042	0.222	0.058	0.234	0.038	0.246	0.028
150	0.842	0.882	0.864	0.852	0.544	0.316	0.554	0.28	0.594	0.228	0.592	0.254
1301	0.308	0.076	0.354	0.104	0.222	0.116	0.21	0.042	0.012	0	0.024	0
589	0.34	0.034	0.42	0.034	0.224	0.006	0.19	0.01	0.228	0.014	0.24	0.008
1317	0.708	0.404	0.734	0.46	0.54	0.026	0.58	0.022	0.202	0.01	0.176	0.004
1193	0.462	0.044	0.442	0.054	0.746	0.656	0.746	0.644	0.584	0.246	0.62	0.22
553	0.268	0.13	0.298	0.228	0.424	0.024	0.452	0.044	0.352	0.08	0.334	0.088
781	0.292	0.03	0.236	0.03	0.168	0.01	0.16	0.016	0.032	0.004	0.022	0.002
297	0.54	0.296	0.572	0.242	0.338	0.026	0.314	0.034	0.348	0.07	0.348	0.046
777	0.842	0.388	0.764	0.216	0.686	0.11	0.678	0.126	0.698	0.13	0.726	0.146
581	0.932	0.416	0.932	0.446	0.936	0.926	0.952	0.932	0.844	0.904	0.878	0.932
769	0.082	0.07	0.062	0.03	0.096	0.104	0.116	0.14	0.114	0.118	0.142	0.148
945	0.812	0.434	0.838	0.454	0.652	0.104	0.65	0.068	0.59	0.266	0.612	0.22
773	0.488	0.446	0.454	0.372	0.682	0.532	0.654	0.454	0.12	0.124	0.134	0.188
745	0.954	0.85	0.964	0.822	0.87	0.532	0.858	0.486	0.694	0.538	0.634	0.524
937	0.24	0.136	0.216	0.126	0.836	0.588	0.8	0.612	0.618	0.312	0.652	0.346
1209	0.106	0.016	0.106	0.006	0.036	0.002	0.064	0	0.05	0.004	0.084	0.004
413	0.54	0.45	0.574	0.446	0.704	0.284	0.714	0.332	0.488	0.154	0.508	0.176
533	0.174	0.024	0.168	0.02	0.17	0.07	0.198	0.076	0.018	0	0.012	0
145	0.542	0.57	0.542	0.614	0.264	0.244	0.284	0.192	0.16	0.014	0.218	0.016
493	0.236	0.074	0.248	0.052	0.158	0.004	0.15	0.002	0.18	0.026	0.19	0.02
1077	0.296	0.032	0.262	0.02	0.682	0.478	0.728	0.492	0.67	0.736	0.668	0.73
565	0.136	0.006	0.134	0.018	0.19	0.02	0.172	0.014	0.23	0.034	0.226	0.046
741	0.37	0.19	0.374	0.12	0.16	0.034	0.166	0.018	0.238	0.018	0.208	0.01
993	0.2	0.552	0.19	0.476	0.104	0.1	0.116	0.112	0.066	0.09	0.054	0.15
225	0.394	0.286	0.426	0.284	0.194	0.072	0.206	0.06	0.266	0.044	0.254	0.062
17	0.574	0.144	0.542	0.082	0.23	0.064	0.264	0.094	0.258	0.232	0.318	0.312
985	0.278	0.02	0.28	0.02	0.71	0.466	0.678	0.45	0.322	0.088	0.302	0.098
1157	0.538	0.488	0.586	0.47	0.406	0.238	0.428	0.286	0.458	0.208	0.488	0.28
1105	0.808	0.33	0.798	0.336	0.59	0.044	0.596	0.03	0.592	0.09	0.568	0.096
1093	0.818	0.688	0.802	0.658	0.542	0.236	0.498	0.228	0.566	0.274	0.606	0.318
1185	0.592	0.082	0.61	0.066	0.314	0.044	0.302	0.034	0.452	0.044	0.356	0.066
1001	0.336	0.156	0.282	0.098	0.1	0.042	0.122	0.04	0.17	0.006	0.178	0.016
509	0.068	0.042	0.058	0.014	0.022	0.004	0.02	0.006	0.05	0.008	0.048	0.014
1409	0.886	0.436	0.888	0.396	0.782	0.228	0.768	0.268	0.676	0.472	0.696	0.34
361	0.33	0.056	0.384	0.042	0.148	0.046	0.194	0.062	0.202	0.008	0.224	0.004
1257	0.802	0.722	0.8	0.69	0.488	0.218	0.48	0.19	0.54	0.32	0.56	0.26
941	0.14	0.052	0.132	0.036	0.088	0.048	0.082	0.026	0.126	0.04	0.12	0.022
893	0.382	0.094	0.388	0.126	0.378	0.174	0.334	0.264	0.914	0.612	0.92	0.598
1013	0.382	0.086	0.346	0.058	0.374	0.006	0.366	0.022	0.392	0.034	0.36	0.03
1309	0.09	0.288	0.104	0.21	0.216	0.314	0.216	0.322	0.142	0.044	0.146	0.032
977	0.524	0.552	0.474	0.632	0.364	0.296	0.316	0.378	0.392	0.406	0.412	0.424
517	0.74	0.512	0.804	0.468	0.74	0.244	0.698	0.284	0.44	0.052	0.446	0.028
869	0.046	0.202	0.052	0.328	0.018	0.05	0.03	0.046	0.028	0.04	0.034	0.06
1025	0.048	0.002	0.032	0.002	0.01	0	0.016	0	0.036	0	0.016	0
853	0.526	0.106	0.464	0.152	0.3	0.012	0.382	0.016	0.034	0.004	0.026	0.006
1089	0.81	0.642	0.8	0.644	0.504	0.634	0.534	0.568	0.584	0.614	0.648	0.672
877	0.526	0.36	0.544	0.406	0.27	0.092	0.24	0.08	0.344	0.106	0.366	0.072
761	0.406	0.202	0.384	0.156	0.616	0.512	0.622	0.554	0.464	0.118	0.47	0.158
429	0.104	0.022	0.126	0.028	0.132	0.008	0.124	0.008	0.042	0.012	0.038	0.006
913	0.46	0.404	0.494	0.256	0.334	0.112	0.256	0.078	0.358	0.116	0.282	0.056
461	0.28	0.048	0.24	0.044	0.148	0.008	0.122	0	0.132	0.004	0.122	0.006
709	0.034	0.102	0.038	0.12	0.008	0.02	0.008	0.016	0.006	0.01	0.01	0.002
65	0.33	0.214	0.284	0.158	0.154	0.046	0.18	0.066	0.168	0.072	0.176	0.034
921	0.296	0.132	0.26	0.126	0.386	0.234	0.382	0.248	0.194	0.022	0.2	0.032
1321	0.278	0.43	0.242	0.404	0.13	0.126	0.102	0.114	0.19	0.172	0.184	0.136
1153	0.496	0.838	0.5	0.856	0.502	0.67	0.51	0.608	0.664	0.61	0.71	0.564
969	0.278	0.19	0.222	0.144	0.116	0.03	0.122	0.036	0.114	0.016	0.11	0.024
230	0.332	0.032	0.3	0.018	0.142	0.006	0.138	0.008	0.098	0.004	0.066	0.006
70	0.512	0.228	0.488	0.202	0.3	0.112	0.338	0.084	0.4	0.096	0.398	0.078
1721	0.234	0.088	0.248	0.09	0.21	0.14	0.202	0.066	0.262	0.128	0.25	0.148
861	0.602	0.35	0.538	0.342	0.438	0.068	0.37	0.08	0.462	0.118	0.5	0.116
1189	0.626	0.356	0.634	0.332	0.336	0.024	0.328	0.016	0.372	0.486	0.384	0.384
90	0.436	0.114	0.472	0.058	0.24	0.008	0.262	0.012	0.292	0.012	0.276	0.014
1069	0.4	0.034	0.42	0.038	0.468	0.25	0.45	0.21	0.578	0.348	0.546	0.282
201	0.602	0.142	0.564	0.082	0.382	0.004	0.36	0.012	0.316	0.06	0.276	0.044
37	0.322	0.022	0.33	0.028	0.18	0.004	0.162	0.004	0.046	0.01	0.04	0.012
197	0.066	0.04	0.098	0.062	0.074	0.006	0.094	0.02	0.072	0.002	0.114	0
1221	0.654	0.662	0.728	0.794	0.874	0.518	0.864	0.432	0.976	0.894	0.968	0.916
1669	0.596	0.326	0.586	0.352	0.522	0.38	0.536	0.312	0.59	0.352	0.582	0.354
1585	0.972	0.746	0.968	0.674	0.858	0.588	0.87	0.66	0.778	0.648	0.756	0.702
1717	0.93	0.58	0.93	0.61	0.636	0.344	0.614	0.36	0.782	0.498	0.842	0.468
205	0.002	0.004	0	0.01	0.004	0.006	0.002	0	0	0	0.004	0
1393	0.4	0.118	0.446	0.076	0.252	0.174	0.244	0.15	0.268	0.356	0.26	0.348
1369	0.044	0.148	0.014	0.074	0.114	0.064	0.102	0.088	0.17	0.01	0.13	0.016
957	0.296	0.424	0.36	0.502	0.264	0.11	0.222	0.06	0.27	0.068	0.326	0.052
1297	0.176	0.064	0.246	0.066	0.124	0.016	0.11	0.004	0.188	0.014	0.15	0.01
637	0.238	0.004	0.234	0.004	0.13	0	0.134	0.002	0.17	0.012	0.144	0
337	0.118	0.008	0.096	0.006	0.098	0.008	0.076	0	0.006	0	0.002	0
793	0.032	0.004	0.038	0.01	0.008	0	0.016	0	0.02	0.002	0.028	0
1401	0.534	0.676	0.508	0.658	0.392	0.12	0.422	0.096	0.128	0.014	0.138	0.006
13	0.184	0.016	0.136	0.012	0.106	0	0.098	0.004	0.036	0	0.014	0
1753	0.654	0.544	0.64	0.466	0.672	0.314	0.668	0.3	0.812	0.428	0.82	0.386
73	0.496	0.048	0.512	0.062	0.278	0.014	0.264	0.01	0.184	0.026	0.18	0.022
1453	0.68	0.238	0.648	0.372	0.422	0.132	0.416	0.132	0.516	0.15	0.532	0.204
997	0.64	0.13	0.622	0.142	0.356	0.32	0.292	0.306	0.26	0.034	0.29	0.03
85	0.06	0.004	0.066	0.008	0.096	0.012	0.094	0.02	0.112	0.018	0.1	0.012
1457	0.682	0.424	0.626	0.368	0.714	0.494	0.69	0.396	0.816	0.598	0.778	0.512
453	0.082	0.022	0.064	0.024	0.036	0.004	0.034	0.014	0.044	0.024	0.034	0.012
1261	0.164	0.004	0.142	0.002	0.432	0.068	0.426	0.062	0.018	0	0.006	0
973	0.448	0.13	0.366	0.072	0.174	0.006	0.164	0.012	0.234	0.026	0.182	0.016
525	0.216	0.086	0.24	0.168	0.258	0.208	0.258	0.15	0.212	0.146	0.228	0.16
833	0.316	0.58	0.354	0.614	0.18	0.17	0.196	0.21	0.224	0.238	0.196	0.192
961	0.556	0.096	0.608	0.102	0.306	0.03	0.316	0.024	0.17	0.042	0.186	0.068
1741	0.592	0.17	0.546	0.152	0.77	0.848	0.826	0.886	0.236	0.116	0.31	0.14
1329	0.58	0.086	0.574	0.064	0.406	0.094	0.408	0.104	0.152	0.002	0.164	0.002
1701	0.25	0.214	0.266	0.216	0.274	0.022	0.25	0.02	0.11	0	0.124	0.004
729	0.79	0.558	0.82	0.604	0.418	0.092	0.388	0.148	0.56	0.188	0.532	0.14
1477	0.29	0.328	0.282	0.304	0.124	0.086	0.15	0.078	0.158	0.072	0.15	0.058
141	0.266	0.026	0.304	0.032	0.228	0.02	0.23	0.048	0.124	0.014	0.104	0.008
805	0.766	0.502	0.77	0.732	0.714	0.654	0.768	0.666	0.876	0.972	0.906	0.972
1245	0.07	0.022	0.064	0.036	0.05	0.012	0.04	0.004	0.05	0.002	0.06	0.002
