"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
205	0.534	0.296	0.562	0.242	0.314	0.058	0.292	0.058	0.314	0.068	0.332	0.1
157	0.124	0.014	0.092	0.016	0.016	0.004	0.106	0.008	0.016	0	0.02	0.002
189	0.096	0.002	0.108	0	0.02	0	0.05	0	0.02	0.004	0.022	0.002
113	0.022	0	0.022	0	0.022	0	0.006	0.002	0.022	0	0.032	0
285	0.27	0.022	0.256	0.028	0.706	0.088	0.634	0.142	0.706	0.076	0.74	0.068
137	0.094	0.016	0.092	0.016	0.072	0.002	0.082	0.008	0.072	0	0.098	0.002
125	0.074	0.002	0.07	0.002	0.014	0	0.034	0	0.014	0.002	0.006	0.004
177	0.448	0.136	0.44	0.16	0.664	0.566	0.55	0.518	0.664	0.31	0.632	0.402
193	0.83	0.492	0.822	0.498	0.212	0.146	0.756	0.198	0.212	0.002	0.218	0.01
165	0.01	0	0.004	0	0.008	0.002	0.04	0	0.008	0.002	0.016	0
129	0.076	0.014	0.06	0.022	0.022	0.002	0.03	0.004	0.022	0.002	0.052	0.002
365	0.17	0.042	0.194	0.09	0.498	0.068	0.382	0.086	0.498	0.09	0.476	0.114
77	0.02	0.01	0.012	0.006	0.022	0.032	0.042	0.02	0.022	0.006	0.016	0.002
345	0.102	0.002	0.096	0.002	0.058	0	0.042	0	0.058	0	0.06	0.002
45	0.362	0.036	0.316	0.04	0.126	0.008	0.12	0.014	0.126	0.006	0.166	0.012
13	0.094	0.01	0.102	0.014	0.014	0.006	0.082	0.004	0.014	0	0.02	0
93	0.936	0.59	0.952	0.522	0.304	0.994	0.874	0.994	0.304	0.106	0.298	0.204
69	0.316	0.112	0.354	0.12	0.174	0.014	0.13	0.03	0.174	0.002	0.18	0.006
169	0.17	0.002	0.13	0.006	0.508	0.084	0.472	0.132	0.508	0.052	0.49	0.026
217	0.21	0.028	0.208	0.004	0.058	0.01	0.092	0.01	0.058	0.006	0.064	0.002
369	0.12	0.136	0.128	0.158	0.132	0.064	0.096	0.062	0.132	0.008	0.144	0.01
105	0.09	0.02	0.06	0.002	0.038	0	0.042	0.002	0.038	0	0.044	0
81	0.148	0.02	0.174	0.066	0.102	0.02	0.09	0.012	0.102	0.022	0.092	0.004
145	0.212	0.03	0.144	0.016	0.142	0.014	0.082	0.004	0.142	0.052	0.118	0.02
