"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
217	0.396	0.138	0.398	0.196	0.308	0.064	0.31	0.026	0.404	0.09	0.414	0.03
273	0.984	0.92	0.986	0.96	0.796	0.574	0.85	0.564	0.842	0.814	0.858	0.824
105	0.288	0.048	0.22	0.044	0.164	0.022	0.106	0.008	0.196	0.014	0.18	0.006
205	0.926	0.79	0.9	0.81	0.736	0.248	0.748	0.366	0.788	0.552	0.81	0.536
261	0.566	0.192	0.528	0.136	0.648	0.316	0.666	0.34	0.59	0.162	0.508	0.142
301	0.608	0.324	0.532	0.324	0.332	0.046	0.356	0.084	0.178	0.032	0.166	0.044
93	0.804	0.916	0.816	0.836	0.532	0.772	0.562	0.782	0.612	0.708	0.604	0.754
285	0.56	0.106	0.562	0.096	0.794	0.158	0.812	0.18	0.704	0.852	0.694	0.838
81	0.632	0.472	0.628	0.478	0.478	0.314	0.448	0.294	0.548	0.324	0.522	0.34
121	0.256	0.79	0.252	0.81	0.288	0.594	0.274	0.562	0.26	0.452	0.256	0.456
369	0.452	0.412	0.402	0.404	0.342	0.5	0.33	0.416	0.284	0.034	0.262	0.044
177	0.85	0.956	0.886	0.948	0.872	0.606	0.922	0.638	0.984	0.966	0.97	0.932
257	0.732	0.356	0.742	0.326	0.5	0.322	0.524	0.206	0.246	0.008	0.232	0.026
265	0.338	0.068	0.34	0.068	0.178	0.04	0.188	0.034	0.312	0.082	0.294	0.044
233	0.908	0.564	0.872	0.566	0.568	0.178	0.552	0.158	0.704	0.484	0.796	0.558
113	0.19	0.06	0.198	0.112	0.158	0.046	0.146	0.05	0.244	0.014	0.232	0.01
357	0.44	0.224	0.418	0.186	0.198	0.054	0.216	0.054	0.302	0.122	0.27	0.112
289	0.844	0.58	0.842	0.54	0.826	0.422	0.838	0.496	0.892	0.692	0.886	0.69
129	0.446	0.3	0.446	0.228	0.198	0.114	0.23	0.078	0.28	0.112	0.268	0.112
89	0.312	0.494	0.31	0.432	0.476	0.494	0.422	0.534	0.338	0.39	0.322	0.372
13	0.232	0.094	0.224	0.132	0.202	0.022	0.21	0.018	0.086	0.008	0.066	0.006
