"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
205	0.734	0.52	0.74	0.548	0.384	0.192	0.402	0.172	0.446	0.192	0.482	0.186
285	0.29	0.058	0.33	0.064	0.724	0.124	0.73	0.15	0.792	0.082	0.778	0.076
273	0.82	0.696	0.782	0.662	0.782	0.192	0.782	0.218	0.376	0.352	0.42	0.392
105	0.114	0.016	0.096	0.024	0.042	0.004	0.026	0.002	0.076	0.002	0.076	0.006
13	0.11	0.026	0.126	0.036	0.094	0.004	0.094	0.01	0.034	0.01	0.03	0.002
301	0.278	0.026	0.19	0.028	0.124	0.016	0.142	0.004	0.048	0.002	0.08	0.002
5	0.462	0.332	0.45	0.414	0.21	0.062	0.224	0.076	0.2	0.018	0.218	0.016
1	0.084	0.004	0.094	0.002	0.062	0	0.046	0	0.062	0	0.064	0.002
369	0.19	0.308	0.186	0.206	0.128	0.152	0.13	0.26	0.186	0.01	0.178	0.01
377	0.222	0.15	0.114	0.136	0.052	0.024	0.06	0.03	0.106	0.034	0.078	0.042
329	0.03	0.002	0.028	0	0.032	0.002	0.01	0	0.014	0	0.024	0
325	0.632	0.382	0.618	0.402	0.65	0.374	0.67	0.45	0.688	0.456	0.652	0.558
217	0.252	0.024	0.226	0.062	0.168	0.02	0.138	0.006	0.128	0.026	0.188	0.016
345	0.126	0.004	0.138	0.018	0.06	0.002	0.064	0	0.072	0	0.052	0.002
333	0.064	0.05	0.056	0.026	0.006	0	0.026	0.002	0.026	0	0.04	0
113	0.054	0.004	0.05	0.008	0.022	0	0.02	0	0.036	0	0.044	0
125	0.104	0.004	0.098	0.008	0.074	0.002	0.07	0.004	0.002	0.002	0.012	0
121	0.18	0.276	0.172	0.504	0.266	0.312	0.192	0.344	0.314	0.048	0.262	0.066
393	0.418	0.168	0.42	0.194	0.648	0.176	0.636	0.124	0.318	0.066	0.346	0.07
261	0.17	0.006	0.15	0.006	0.236	0.062	0.21	0.03	0.196	0.01	0.194	0.016
277	0.856	0.368	0.826	0.334	0.58	0.034	0.522	0.044	0.314	0.05	0.392	0.032
257	0.31	0.396	0.252	0.418	0.146	0.156	0.14	0.156	0.092	0.04	0.128	0.042
