"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
93	0.73	1	0.692	0.994	0.532	0.742	0.446	0.764	0.532	0.824	0.488	0.764
13	0.334	0.412	0.324	0.462	0.156	0.056	0.306	0.054	0.156	0.024	0.114	0.026
81	0.886	0.992	0.9	0.998	0.864	0.748	0.828	0.58	0.864	0.448	0.86	0.498
85	0.864	0.68	0.706	0.478	0.806	0.522	0.764	0.382	0.806	0.522	0.786	0.36
5	0.778	0.868	0.78	0.85	0.686	0.354	0.818	0.396	0.686	0.308	0.71	0.234
29	0.128	0.366	0.216	0.208	0.106	0.366	0.144	0.496	0.106	0.318	0.188	0.468
89	0.266	0.624	0.23	0.504	0.356	0.626	0.382	0.624	0.356	0.61	0.46	0.726
113	0.438	0.544	0.44	0.558	0.51	0.236	0.332	0.222	0.51	0.026	0.464	0.058
1	0.324	0.228	0.312	0.228	0.282	0.016	0.184	0.014	0.282	0.01	0.276	0.01
105	0.432	0.604	0.402	0.664	0.33	0.096	0.244	0.062	0.33	0.072	0.346	0.088
121	0.3	0.468	0.344	0.57	0.326	0.854	0.424	0.848	0.326	0.746	0.402	0.84
129	0.718	0.924	0.778	0.854	0.494	0.318	0.416	0.394	0.494	0.314	0.546	0.294
41	0.614	0.618	0.592	0.636	0.142	0.142	0.63	0.172	0.142	0.126	0.178	0.146
125	0.33	0.506	0.364	0.568	0.098	0.08	0.174	0.04	0.098	0.08	0.096	0.094
65	0.568	0.774	0.52	0.734	0.168	0.144	0.286	0.162	0.168	0.226	0.162	0.156
69	0.556	0.202	0.498	0.134	0.726	0.082	0.788	0.14	0.726	0.184	0.774	0.214
25	0.598	0.882	0.684	0.548	0.54	0.678	0.438	0.626	0.54	0.62	0.626	0.612
217	0.51	0.788	0.516	0.96	0.73	0.58	0.584	0.496	0.73	0.64	0.676	0.462
45	0.082	0.14	0.092	0.17	0.48	0	0.062	0.008	0.48	0.748	0.532	0.666
49	0.72	0.662	0.82	0.74	0.498	0.364	0.522	0.506	0.498	0.422	0.57	0.394
117	0.294	0.656	0.32	0.654	0.406	0.528	0.362	0.542	0.406	0.672	0.448	0.66
233	0.968	0.968	0.94	0.978	0.848	0.42	0.662	0.254	0.848	0.836	0.876	0.904
205	0.706	0.424	0.596	0.434	0.512	0.764	0.962	0.896	0.512	0.778	0.572	0.854
57	0.808	0.92	0.834	0.932	0.786	0.776	0.744	0.702	0.786	0.322	0.764	0.148
261	0.95	0.878	0.96	0.88	0.78	0.828	0.96	0.832	0.78	0.772	0.814	0.856
177	0.898	0.98	0.848	0.976	0.878	0.822	0.826	0.828	0.878	0.778	0.878	0.792
461	0.966	0.34	0.938	0.448	0.888	0.432	0.69	0.444	0.888	0.38	0.876	0.378
257	0.818	0.998	0.84	0.998	0.432	0.55	0.654	0.532	0.432	0.13	0.388	0.1
77	0.22	0.55	0.214	0.59	0.228	0.468	0.402	0.412	0.228	0.1	0.218	0.13
9	0.814	0.568	0.826	0.746	0.566	0.118	0.56	0.112	0.566	0.076	0.604	0.092
249	0.844	0.504	0.858	0.554	0.518	0.234	0.83	0.222	0.518	0.21	0.594	0.16
137	0.766	0.462	0.794	0.526	0.21	0.04	0.444	0.072	0.21	0.02	0.228	0.014
301	0.864	0.816	0.824	0.86	0.364	0.26	0.546	0.312	0.364	0.22	0.374	0.334
141	0.952	0.68	0.934	0.666	0.972	0.828	0.964	0.844	0.972	0.96	0.988	0.942
149	0.35	0.93	0.334	0.836	0.164	0.214	0.144	0.202	0.164	0.284	0.18	0.194
97	0.856	0.972	0.888	0.994	0.854	0.958	0.976	0.958	0.854	0.76	0.888	0.686
169	0.588	0.788	0.606	0.678	0.838	0.748	0.906	0.8	0.838	0.146	0.842	0.2
37	0.524	0.766	0.622	0.79	0.402	0.25	0.324	0.262	0.402	0.132	0.438	0.24
181	0.602	0.504	0.598	0.562	0.576	0.448	0.582	0.566	0.576	0.296	0.668	0.26
101	0.342	0.908	0.318	0.93	0.2	0.306	0.218	0.276	0.2	0.012	0.266	0.014
145	0.14	0.44	0.21	0.268	0.086	0.248	0.104	0.214	0.086	0.216	0.122	0.326
61	0.65	0.416	0.602	0.536	0.658	0.102	0.682	0.076	0.658	0.16	0.714	0.208
273	0.962	1	0.968	1	0.82	0.892	0.754	0.932	0.82	0.924	0.838	0.928
445	0.266	0.944	0.246	0.95	0.44	0.26	0.118	0.234	0.44	0.682	0.472	0.774
21	0.7	0.564	0.7	0.51	0.562	0.688	0.568	0.746	0.562	0.488	0.566	0.466
209	0.13	0.154	0.126	0.198	0.058	0.01	0.07	0.004	0.058	0.008	0.084	0.008
413	0.902	0.808	0.886	0.826	0.232	0.092	0.608	0.186	0.232	0.012	0.182	0.022
225	0.268	0.914	0.356	0.994	0.182	0.122	0.142	0.16	0.182	0.232	0.212	0.254
229	0.3	0.16	0.382	0.244	0.238	0.028	0.228	0.012	0.238	0.046	0.264	0.022
285	0.738	0.264	0.714	0.23	0.402	0.364	0.618	0.402	0.402	0.664	0.368	0.67
425	0.494	0.564	0.482	0.612	0.764	0.62	0.738	0.57	0.764	0.542	0.732	0.57
437	0.704	0.314	0.648	0.29	0.636	0.402	0.95	0.418	0.636	0.258	0.67	0.208
485	0.47	0.89	0.48	0.914	0.52	0.318	0.39	0.276	0.52	0.364	0.536	0.314
193	0.964	0.916	0.926	0.878	0.736	0.414	0.868	0.338	0.736	0.262	0.76	0.312
73	0.334	0.358	0.436	0.324	0.402	0.032	0.36	0.026	0.402	0.016	0.444	0.074
197	0.906	0.994	0.806	0.992	0.756	0.346	0.57	0.352	0.756	0.478	0.656	0.466
17	0.38	0.788	0.462	0.746	0.25	0.176	0.284	0.274	0.25	0.146	0.312	0.112
289	0.786	0.944	0.772	0.902	0.604	0.85	0.514	0.77	0.604	0.834	0.63	0.882
321	0.372	0.838	0.398	0.79	0.216	0.418	0.23	0.404	0.216	0.342	0.226	0.404
161	0.802	0.912	0.84	0.904	0.614	0.254	0.514	0.3	0.614	0.276	0.628	0.326
417	0.286	0.374	0.248	0.416	0.114	0.044	0.124	0.068	0.114	0.06	0.124	0.05
369	0.622	0.73	0.522	0.648	0.408	0.448	0.486	0.578	0.408	0.02	0.434	0.018
277	0.768	0.9	0.708	0.86	0.896	0.308	0.742	0.236	0.896	0.22	0.844	0.274
173	0.724	0.732	0.774	0.856	0.48	0.208	0.488	0.176	0.48	0.038	0.506	0.012
253	0.326	0.618	0.28	0.58	0.074	0.134	0.678	0.084	0.074	0.024	0.102	0.042
53	0.494	0.636	0.478	0.654	0.14	0.064	0.318	0.06	0.14	0.022	0.174	0.026
377	0.4	0.84	0.356	0.698	0.21	0.32	0.146	0.254	0.21	0.304	0.21	0.308
