"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
149	0.392	0.454	0.482	0.562	0.198	0.09	0.23	0.108	0.748	0.892	0.73	0.874
909	0.562	0.688	0.562	0.734	0.282	0.18	0.286	0.216	0.982	0.93	0.976	0.954
289	0.714	0.18	0.692	0.192	0.416	0.038	0.422	0.022	0.694	0.726	0.686	0.724
673	0.52	0.242	0.456	0.222	0.254	0.338	0.24	0.298	0.304	0.34	0.324	0.34
1005	0.254	0.166	0.226	0.19	0.15	0.09	0.13	0.046	0.194	0.054	0.156	0.032
173	0.146	0.264	0.128	0.194	0.386	0.428	0.418	0.454	0.43	0.142	0.46	0.218
77	0.11	0.042	0.096	0.038	0.146	0.01	0.14	0.008	0.808	0.5	0.824	0.416
213	0.364	0.1	0.342	0.14	0.172	0.016	0.184	0.006	0.242	0.33	0.224	0.372
433	0.622	0.334	0.62	0.308	0.692	0.852	0.7	0.842	0.758	0.77	0.788	0.82
89	0.094	0.042	0.078	0.044	0.112	0.132	0.104	0.104	0.096	0.132	0.104	0.168
325	0.438	0.442	0.384	0.284	0.542	0.052	0.592	0.044	0.45	0.192	0.424	0.202
593	0.21	0.05	0.192	0.02	0.16	0.176	0.164	0.148	0.58	0.42	0.6	0.448
241	0.29	0.25	0.292	0.194	0.162	0.144	0.152	0.086	0.416	0.622	0.374	0.512
229	0.03	0.01	0.044	0.008	0.022	0.002	0.046	0.004	0.512	0.704	0.522	0.732
445	0.25	0.242	0.274	0.108	0.112	0.196	0.112	0.176	0.108	0.156	0.136	0.164
1669	0.944	0.734	0.95	0.73	0.766	0.914	0.728	0.95	0.818	0.966	0.834	0.95
1033	0.276	0.126	0.286	0.074	0.326	0.448	0.35	0.488	0.472	0.356	0.462	0.442
25	0.162	0.04	0.148	0.052	0.208	0.29	0.222	0.28	0.83	0.736	0.86	0.724
69	0.218	0.23	0.236	0.234	0.39	0.5	0.396	0.522	0.83	0.482	0.86	0.496
705	0.608	0.432	0.648	0.56	0.504	0.33	0.554	0.33	0.57	0.296	0.582	0.292
953	0.076	0.174	0.084	0.272	0.11	0.174	0.088	0.192	0.122	0.174	0.12	0.122
301	0.248	0.17	0.266	0.284	0.188	0.04	0.184	0.038	0.204	0.318	0.218	0.322
993	0.232	0.238	0.222	0.272	0.116	0.274	0.148	0.342	0.044	0.098	0.044	0.094
