"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
1	0.094	0.01	0.114	0.008	0.138	0.002	0.15	0	0.008	0	0.012	0
25	0.506	0.074	0.47	0.108	0.848	0.802	0.846	0.77	0.76	0.536	0.738	0.506
57	0.256	0.012	0.25	0.036	0.13	0.002	0.126	0	0.152	0.004	0.196	0.004
49	0.15	0.002	0.18	0.002	0.092	0	0.1	0	0.1	0	0.116	0
53	0.86	0.252	0.832	0.302	0.74	0.27	0.756	0.272	0.772	0.306	0.786	0.242
149	0.532	0.574	0.504	0.614	0.468	0.218	0.428	0.166	0.526	0.378	0.558	0.366
61	0.832	0.278	0.83	0.346	0.768	0.406	0.73	0.372	0.784	0.46	0.804	0.558
65	0.162	0.004	0.174	0.008	0.154	0.09	0.154	0.07	0.072	0.08	0.096	0.104
45	0.388	0.144	0.372	0.09	0.28	0.376	0.306	0.406	0.348	0.478	0.328	0.388
173	0.21	0.01	0.224	0.004	0.508	0.384	0.514	0.392	0.638	0.448	0.658	0.456
29	0.224	0.022	0.21	0.026	0.152	0.016	0.164	0.016	0.08	0.022	0.07	0.012
213	0.376	0.114	0.368	0.1	0.492	0.032	0.464	0.06	0.206	0.016	0.194	0.064
161	0.532	0.09	0.54	0.082	0.374	0.264	0.396	0.27	0.498	0.402	0.416	0.272
9	0.124	0.07	0.13	0.054	0.118	0.038	0.11	0.042	0.158	0.076	0.146	0.024
121	0.708	0.23	0.684	0.194	0.718	0.818	0.724	0.848	0.326	0.346	0.288	0.308
81	0.24	0.012	0.218	0.012	0.11	0.018	0.122	0.032	0.112	0.036	0.142	0.07
209	0.18	0.034	0.184	0.034	0.086	0.008	0.068	0	0.104	0.01	0.1	0.004
33	0.504	0.068	0.55	0.082	0.646	0.31	0.646	0.388	0.174	0.03	0.198	0.048
41	0.396	0.028	0.472	0.03	0.254	0.028	0.282	0.014	0.156	0.022	0.16	0.024
137	0.128	0.27	0.136	0.34	0.074	0.068	0.058	0.04	0.086	0.052	0.1	0.08
37	0.402	0.014	0.414	0.016	0.238	0.004	0.262	0	0.018	0	0.016	0
77	0.356	0.04	0.294	0.044	0.28	0.014	0.3	0.034	0.226	0.042	0.234	0.038
101	0.338	0.062	0.342	0.044	0.184	0.01	0.226	0.016	0.168	0.004	0.17	0.018
93	0.022	0	0.014	0	0.032	0	0.014	0	0.01	0	0.008	0
2	0.568	0.082	0.542	0.082	0.352	0.008	0.336	0.006	0.278	0.016	0.312	0.004
69	0.522	0.226	0.538	0.218	0.422	0.352	0.378	0.294	0.086	0	0.064	0.002
289	0.732	0.184	0.71	0.106	0.644	0.026	0.638	0.036	0.246	0.1	0.218	0.07
169	0.73	0.37	0.67	0.25	0.434	0.5	0.43	0.444	0.516	0.598	0.52	0.544
205	0.004	0.004	0.008	0.008	0.008	0	0.01	0	0.022	0	0.012	0
17	0.49	0.032	0.508	0.028	0.478	0.044	0.438	0.06	0.334	0.084	0.332	0.106
365	0.134	0.016	0.134	0.008	0.08	0.008	0.068	0.002	0.086	0.008	0.074	0.004
197	0.14	0	0.154	0	0.086	0.002	0.06	0	0.09	0	0.082	0
277	0.82	0.25	0.812	0.25	0.62	0.102	0.656	0.164	0.268	0.234	0.218	0.192
437	0.298	0.116	0.328	0.108	0.312	0.058	0.374	0.072	0.47	0.238	0.428	0.21
329	0.094	0.016	0.064	0.004	0.096	0.006	0.084	0.014	0.104	0.016	0.112	0.014
273	0.696	0.108	0.678	0.136	0.58	0.298	0.612	0.348	0.65	0.108	0.66	0.104
