"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
173	0.598	0.188	0.626	0.158	0.634	0.834	0.626	0.84	0.634	0.62	0.632	0.602
437	0.352	0.636	0.4	0.728	0.466	0.58	0.552	0.6	0.572	0.638	0.604	0.692
213	0.418	0.702	0.482	0.86	0.262	0.39	0.3	0.428	0.278	0.446	0.278	0.442
445	0.058	0.344	0.09	0.392	0.052	0.096	0.04	0.08	0.068	0.108	0.05	0.078
697	0.944	0.994	0.958	0.998	0.756	0.882	0.738	0.854	0.91	0.93	0.896	0.964
1349	0.03	0.134	0.036	0.15	0.26	0.368	0.268	0.424	0.272	0.328	0.286	0.3
1093	0.778	0.932	0.786	0.938	0.94	0.88	0.898	0.844	0.874	0.744	0.908	0.84
57	0.974	1	0.988	0.996	0.874	0.706	0.848	0.614	0.568	0.696	0.554	0.644
1389	0.484	0.404	0.512	0.472	0.242	0.212	0.284	0.234	0.31	0.32	0.308	0.362
81	0.606	0.71	0.588	0.69	0.35	0.474	0.276	0.428	0.362	0.496	0.338	0.482
25	0.76	0.506	0.772	0.45	0.626	0.562	0.542	0.492	0.658	0.442	0.628	0.52
329	0.316	0.63	0.352	0.676	0.398	0.58	0.428	0.63	0.508	0.526	0.542	0.562
1345	0.788	0.224	0.766	0.212	0.692	0.734	0.706	0.708	0.728	0.756	0.772	0.768
149	0.46	0.906	0.45	0.908	0.52	0.798	0.542	0.842	0.58	0.758	0.626	0.81
897	0.466	0.74	0.544	0.534	0.704	0.862	0.78	0.874	0.756	0.908	0.676	0.866
721	0.232	0.45	0.186	0.434	0.102	0.12	0.136	0.204	0.166	0.198	0.17	0.18
593	0.424	0.018	0.436	0.028	0.552	0.292	0.602	0.374	0.338	0.366	0.4	0.458
325	0.534	0.806	0.512	0.848	0.868	0.19	0.896	0.168	0.406	0.044	0.396	0.06
9	0.096	0.468	0.112	0.338	0.118	0.294	0.134	0.232	0.144	0.244	0.194	0.26
1401	0.898	0.956	0.89	0.914	0.95	0.996	0.906	0.976	0.968	0.914	0.96	0.864
65	0.852	0.656	0.842	0.468	0.598	0.736	0.602	0.77	0.636	0.726	0.622	0.728
209	0.822	0.624	0.81	0.498	0.664	0.326	0.664	0.382	0.526	0.362	0.552	0.25
1369	0.254	0.214	0.248	0.366	0.254	0.228	0.274	0.238	0.37	0.414	0.402	0.382
49	0.678	0.802	0.638	0.776	0.532	0.194	0.576	0.194	0.696	0.158	0.664	0.252
1033	0.568	0.33	0.532	0.444	0.64	0.34	0.69	0.318	0.726	0.594	0.724	0.55
189	0.736	0.876	0.744	0.954	0.538	0.718	0.572	0.836	0.652	0.696	0.596	0.708
241	0.54	0.652	0.516	0.666	0.962	0.708	0.964	0.72	0.676	0.524	0.682	0.534
1157	0.62	0.688	0.672	0.678	0.42	0.676	0.384	0.584	0.266	0.43	0.226	0.426
53	0.964	0.986	0.976	0.994	0.76	0.862	0.736	0.858	0.796	0.818	0.81	0.872
457	0.816	0.634	0.842	0.668	0.806	0.822	0.83	0.838	0.264	0.35	0.248	0.288
957	0.904	0.51	0.904	0.582	0.858	0.494	0.822	0.502	0.836	0.57	0.874	0.576
365	0.846	0.692	0.89	0.804	0.54	0.344	0.582	0.434	0.616	0.428	0.656	0.522
393	0.642	0.916	0.584	0.794	0.704	0.738	0.792	0.836	0.752	0.774	0.786	0.782
717	0.736	0.658	0.756	0.552	0.882	0.638	0.908	0.578	0.928	0.986	0.954	0.986
1453	0.96	0.638	0.966	0.738	0.746	0.23	0.77	0.258	0.612	0.48	0.664	0.492
1089	0.902	0.826	0.902	0.66	0.728	0.692	0.758	0.772	0.61	0.676	0.696	0.73
29	0.992	0.94	0.992	0.954	0.944	0.958	0.934	0.944	0.57	0.772	0.576	0.718
289	0.774	0.738	0.826	0.868	0.874	0.894	0.864	0.886	0.892	0.498	0.888	0.612
357	0.48	0.694	0.538	0.744	0.516	0.22	0.536	0.192	0.658	0.194	0.708	0.172
269	0.872	0.416	0.884	0.368	0.72	0.95	0.764	0.95	0.764	0.872	0.788	0.838
1045	0.156	0.412	0.21	0.414	0.238	0.194	0.28	0.224	0.492	0.612	0.536	0.668
577	0.12	0.098	0.15	0.13	0.084	0.012	0.06	0.024	0.106	0.024	0.144	0.024
313	0.82	0.356	0.848	0.374	0.838	0.916	0.882	0.966	0.932	0.948	0.926	0.942
1	0.73	0.27	0.758	0.276	0.454	0.026	0.378	0.056	0.228	0.036	0.216	0.04
545	0.264	0.46	0.25	0.464	0.142	0.022	0.164	0.04	0.2	0.33	0.208	0.326
1185	0.658	0.078	0.71	0.068	0.628	0.38	0.578	0.354	0.698	0.654	0.652	0.526
1753	0.55	0.106	0.488	0.074	0.928	0.846	0.91	0.814	0.536	0.208	0.556	0.236
705	0.35	0.096	0.346	0.056	0.236	0.168	0.25	0.132	0.484	0.196	0.496	0.168
709	0.008	0.036	0.018	0.006	0.004	0	0.006	0.004	0.01	0	0.012	0
557	0.804	0.696	0.836	0.756	0.972	0.794	0.97	0.838	0.862	0.904	0.856	0.912
1073	0.142	0.292	0.122	0.394	0.14	0.4	0.152	0.452	0.354	0.692	0.362	0.61
1121	0.646	0.412	0.646	0.432	0.574	0.494	0.556	0.44	0.362	0.31	0.388	0.284
1681	0.492	0.644	0.498	0.63	0.306	0.28	0.322	0.258	0.38	0.346	0.392	0.254
161	0.92	0.968	0.844	0.928	0.68	0.446	0.708	0.414	0.54	0.404	0.556	0.464
1361	0.616	0.914	0.578	0.888	0.516	0.776	0.552	0.73	0.112	0.21	0.086	0.112
273	0.354	0.5	0.378	0.524	0.336	0.648	0.388	0.706	0.38	0.612	0.456	0.598
89	0.728	0.982	0.73	0.986	0.476	0.61	0.54	0.612	0.304	0.384	0.316	0.392
413	0.904	0.93	0.928	0.922	0.966	0.886	0.98	0.938	0.996	0.964	0.99	0.954
45	0.3	0.728	0.316	0.74	0.32	0.382	0.37	0.49	0.346	0.516	0.436	0.57
1381	0.306	0.096	0.358	0.078	0.234	0.002	0.238	0.014	0.32	0.012	0.308	0.01
793	0.8	0.718	0.796	0.702	0.682	0.524	0.73	0.514	0.594	0.574	0.66	0.518
909	0.814	0.934	0.868	0.918	0.804	0.6	0.85	0.702	0.876	0.89	0.918	0.84
573	0.314	0.22	0.344	0.25	0.254	0.52	0.216	0.452	0.296	0.438	0.298	0.472
229	0.184	0.186	0.148	0.276	0.192	0.17	0.168	0.1	0.138	0.29	0.158	0.306
1409	0.842	0.666	0.896	0.538	0.922	0.362	0.93	0.44	0.982	0.836	0.98	0.87
1353	0.442	0.758	0.406	0.826	0.228	0.388	0.238	0.4	0.192	0.158	0.164	0.178
485	0.32	0.204	0.334	0.228	0.19	0.206	0.17	0.14	0.108	0.004	0.122	0.018
1953	0.538	0.932	0.53	0.886	0.434	0.414	0.448	0.408	0.46	0.48	0.392	0.382
397	0.61	0.686	0.65	0.572	0.864	0.938	0.828	0.95	0.906	0.93	0.888	0.934
1365	0.352	0.22	0.326	0.296	0.212	0.06	0.248	0.062	0.196	0.064	0.222	0.052
1221	0.822	0.184	0.758	0.176	0.892	0.742	0.904	0.852	0.746	0.486	0.726	0.57
809	0.66	0.998	0.68	0.994	0.436	0.62	0.444	0.668	0.438	0.648	0.414	0.642
