"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
53	0.524	0.574	0.546	0.484	0.626	0.392	0.632	0.32	0.676	0.726	0.714	0.748
1	0.536	0.506	0.58	0.422	0.53	0.52	0.588	0.488	0.33	0.218	0.362	0.324
61	0.772	0.728	0.75	0.798	0.43	0.162	0.526	0.208	0.504	0.166	0.544	0.15
25	0.19	0.14	0.186	0.154	0.286	0.12	0.262	0.1	0.306	0.134	0.32	0.14
21	0.394	0.62	0.392	0.532	0.314	0.168	0.356	0.136	0.3	0.172	0.334	0.142
9	0.202	0.31	0.162	0.31	0.156	0.194	0.144	0.208	0.164	0.236	0.184	0.238
17	0.838	0.25	0.85	0.212	0.558	0.082	0.55	0.112	0.598	0.08	0.616	0.102
49	0.446	0.416	0.452	0.574	0.546	0.102	0.556	0.07	0.258	0.062	0.23	0.046
5	0.336	0.268	0.372	0.168	0.176	0.014	0.194	0.012	0.184	0.012	0.212	0.038
37	0.986	0.918	0.978	0.914	0.764	0.904	0.816	0.88	0.854	0.85	0.848	0.904
233	0.882	0.884	0.882	0.906	0.838	0.278	0.786	0.304	0.452	0.182	0.436	0.188
65	0.584	0.812	0.61	0.884	0.358	0.332	0.386	0.328	0.398	0.49	0.388	0.44
41	0.72	0.572	0.76	0.616	0.626	0.56	0.646	0.602	0.48	0.306	0.486	0.366
201	0.832	0.188	0.834	0.25	0.566	0.08	0.624	0.074	0.652	0.12	0.624	0.088
101	0.644	0.734	0.672	0.728	0.66	0.132	0.646	0.152	0.666	0.096	0.71	0.13
189	0.392	0.658	0.41	0.582	0.222	0.214	0.314	0.282	0.332	0.16	0.35	0.148
45	0.79	0.858	0.782	0.852	0.56	0.528	0.55	0.644	0.54	0.268	0.57	0.306
105	0.97	0.748	0.98	0.68	0.84	0.298	0.878	0.344	0.896	0.284	0.91	0.304
29	0.69	0.67	0.568	0.752	0.802	0.438	0.754	0.406	0.796	0.538	0.748	0.572
57	0.52	0.956	0.52	0.958	0.782	0.95	0.788	0.956	0.798	0.806	0.828	0.838
173	0.812	0.988	0.8	0.994	0.878	0.728	0.886	0.678	0.9	0.584	0.924	0.716
33	0.48	0.56	0.444	0.366	0.304	0.278	0.296	0.276	0.346	0.392	0.32	0.278
185	0.468	0.45	0.436	0.436	0.574	0.104	0.528	0.098	0.534	0.112	0.516	0.07
193	0.722	0.252	0.75	0.318	0.45	0.038	0.428	0.058	0.486	0.058	0.528	0.058
217	0.736	0.614	0.73	0.562	0.456	0.102	0.472	0.148	0.322	0.084	0.282	0.076
229	0.22	0.402	0.194	0.246	0.092	0.028	0.084	0.02	0.098	0.002	0.094	0.012
73	0.87	0.574	0.856	0.616	0.706	0.146	0.716	0.162	0.702	0.166	0.764	0.196
97	0.356	0.774	0.476	0.884	0.268	0.638	0.34	0.724	0.288	0.622	0.346	0.566
69	0.86	0.982	0.796	0.912	0.662	0.822	0.652	0.768	0.706	0.768	0.73	0.834
85	0.706	0.5	0.704	0.568	0.574	0.212	0.59	0.224	0.626	0.234	0.636	0.242
13	0.422	0.524	0.4	0.5	0.202	0.058	0.208	0.05	0.27	0.066	0.254	0.038
169	0.278	0.312	0.32	0.302	0.276	0.078	0.24	0.06	0.258	0.05	0.286	0.046
205	0.078	0.052	0.108	0.068	0.066	0.028	0.064	0.024	0.068	0.036	0.062	0.012
197	0.976	0.648	0.972	0.686	0.764	0.192	0.748	0.124	0.82	0.268	0.788	0.204
225	0.95	0.936	0.96	0.946	0.83	0.558	0.826	0.422	0.86	0.43	0.892	0.538
161	0.774	0.778	0.646	0.824	0.506	0.302	0.516	0.314	0.568	0.286	0.54	0.284
77	0.826	0.296	0.868	0.256	0.6	0.056	0.596	0.074	0.374	0.084	0.364	0.09
209	0.866	0.942	0.866	0.968	0.806	0.842	0.802	0.818	0.666	0.848	0.682	0.804
93	0.322	0.2	0.278	0.178	0.174	0.026	0.148	0.038	0.12	0.256	0.144	0.296
177	0.744	0.702	0.754	0.744	0.46	0.41	0.53	0.334	0.518	0.292	0.504	0.304
125	0.446	0.508	0.486	0.672	0.23	0.078	0.288	0.178	0.254	0.076	0.268	0.15
213	0.132	0.108	0.15	0.164	0.27	0.286	0.298	0.218	0.304	0.292	0.286	0.314
149	0.672	0.428	0.61	0.38	0.61	0.11	0.624	0.098	0.668	0.174	0.662	0.098
145	0.796	0.888	0.832	0.928	0.57	0.286	0.642	0.38	0.63	0.6	0.654	0.618
141	0.762	0.768	0.768	0.84	0.49	0.608	0.464	0.512	0.558	0.536	0.518	0.618
137	0.476	0.678	0.462	0.748	0.918	0.478	0.878	0.512	0.732	0.27	0.706	0.264
221	0.718	0.826	0.718	0.904	0.412	0.594	0.448	0.578	0.346	0.13	0.334	0.1
81	0.266	0.206	0.248	0.298	0.62	0.89	0.606	0.864	0.608	0.828	0.688	0.818
109	0.794	0.934	0.824	0.866	0.86	0.516	0.852	0.59	0.822	0.52	0.86	0.5
113	0.504	0.842	0.536	0.768	0.324	0.178	0.374	0.228	0.364	0.182	0.346	0.232
121	0.078	0.352	0.054	0.286	0.062	0.018	0.05	0.024	0.056	0.03	0.062	0.032
89	0.762	0.316	0.768	0.444	0.588	0.138	0.632	0.162	0.618	0.154	0.61	0.092
181	0.76	0.41	0.75	0.566	0.46	0.29	0.51	0.34	0.512	0.444	0.56	0.442
157	0.97	0.682	0.96	0.63	0.668	0.166	0.7	0.188	0.716	0.15	0.728	0.156
165	0.82	0.822	0.804	0.838	0.792	0.314	0.808	0.258	0.812	0.812	0.824	0.772
117	0.618	0.552	0.624	0.686	0.678	0.87	0.636	0.79	0.702	0.822	0.656	0.774
133	0.588	0.788	0.514	0.764	0.366	0.296	0.388	0.334	0.342	0.322	0.316	0.304
129	0.696	0.846	0.726	0.726	0.492	0.234	0.424	0.174	0.532	0.22	0.486	0.178
153	0.12	0.484	0.106	0.394	0.058	0.066	0.066	0.034	0.072	0.084	0.046	0.022
301	0.278	0.728	0.246	0.706	0.134	0.148	0.156	0.194	0.132	0.194	0.158	0.16
325	0.644	0.188	0.618	0.232	0.426	0.064	0.424	0.038	0.414	0.048	0.436	0.024
341	0.224	0.054	0.266	0.072	0.146	0.004	0.18	0.034	0.182	0.016	0.19	0.016
313	0.166	0.212	0.15	0.126	0.162	0.356	0.138	0.21	0.132	0.028	0.13	0.048
357	0.896	0.976	0.87	0.946	0.914	0.588	0.902	0.684	0.96	0.624	0.946	0.714
373	0.604	0.876	0.724	0.93	0.364	0.462	0.468	0.656	0.42	0.288	0.492	0.228
305	0.324	0.268	0.33	0.192	0.168	0.226	0.194	0.306	0.164	0.316	0.166	0.352
349	0.028	0.318	0.068	0.302	0.07	0.236	0.086	0.232	0.098	0.226	0.09	0.212
273	0.96	0.992	0.948	0.994	0.926	0.708	0.962	0.708	0.958	0.794	0.96	0.76
361	0.67	0.974	0.73	0.988	0.67	0.624	0.69	0.668	0.742	0.59	0.748	0.662
337	0.948	0.46	0.964	0.594	0.748	0.662	0.774	0.684	0.936	0.432	0.952	0.402
289	0.864	0.544	0.862	0.648	0.836	0.448	0.872	0.328	0.676	0.332	0.664	0.354
481	0.906	0.95	0.866	0.982	0.638	0.376	0.652	0.516	0.518	0.388	0.48	0.334
353	0.586	0.81	0.602	0.796	0.368	0.252	0.386	0.242	0.346	0.236	0.38	0.32
365	0.826	0.786	0.822	0.8	0.6	0.47	0.648	0.454	0.698	0.79	0.726	0.804
377	0.616	0.706	0.588	0.7	0.628	0.69	0.68	0.65	0.648	0.882	0.686	0.884
281	0.876	0.756	0.9	0.638	0.788	0.508	0.788	0.474	0.76	0.752	0.72	0.716
385	0.578	0.136	0.608	0.326	0.302	0.036	0.322	0.042	0.324	0.026	0.394	0.06
257	0.974	0.752	0.956	0.66	0.746	0.196	0.792	0.218	0.858	0.206	0.8	0.162
493	0.334	0.666	0.406	0.666	0.196	0.226	0.204	0.274	0.206	0.226	0.178	0.232
245	0.218	0.312	0.266	0.206	0.096	0.052	0.106	0.064	0.15	0.058	0.132	0.078
317	0.248	0.39	0.246	0.216	0.16	0.038	0.172	0.01	0.166	0.008	0.178	0.012
469	0.744	0.424	0.762	0.482	0.652	0.274	0.658	0.256	0.406	0.332	0.468	0.426
477	0.55	0.622	0.52	0.694	0.31	0.584	0.322	0.586	0.334	0.174	0.322	0.144
285	0.896	0.766	0.872	0.776	0.908	0.384	0.924	0.432	0.772	0.302	0.816	0.346
445	0.672	0.798	0.794	0.87	0.808	0.796	0.802	0.828	0.842	0.866	0.864	0.874
249	0.43	0.462	0.406	0.426	0.286	0.202	0.286	0.208	0.296	0.25	0.27	0.248
234	0.844	0.986	0.802	0.988	0.598	0.58	0.58	0.718	0.622	0.664	0.556	0.618
321	0.396	0.492	0.32	0.43	0.298	0.164	0.306	0.174	0.356	0.126	0.32	0.094
54	0.584	0.414	0.61	0.538	0.33	0.208	0.388	0.272	0.334	0.202	0.382	0.29
102	0.37	0.284	0.372	0.17	0.302	0.044	0.27	0.028	0.264	0.058	0.246	0.054
