"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
97	0.134	0	0.166	0	0.162	0	0.154	0	0.152	0	0.154	0
1	0.248	0.226	0.242	0.212	0.128	0.022	0.106	0.03	0.158	0.014	0.164	0.022
21	0.354	0.052	0.388	0.056	0.244	0.008	0.2	0.004	0.234	0.018	0.24	0.01
33	0.076	0.016	0.058	0.03	0.126	0.008	0.08	0.01	0.038	0.002	0.052	0
5	0.22	0.01	0.212	0.008	0.164	0	0.132	0	0.124	0.002	0.092	0
29	0.23	0.008	0.21	0.006	0.158	0	0.168	0.002	0.16	0	0.162	0
17	0.464	0.008	0.478	0.016	0.352	0.024	0.366	0.038	0.376	0.04	0.366	0.038
9	0.054	0.002	0.07	0	0.052	0	0.062	0	0.038	0	0.064	0
13	0.02	0.012	0.026	0.01	0.052	0.004	0.042	0.012	0.03	0.002	0.04	0.006
37	0.108	0.002	0.124	0.006	0.06	0	0.064	0	0.064	0	0.06	0
25	0.032	0.004	0.014	0.006	0.02	0.002	0.01	0.002	0.012	0.002	0.012	0
121	0.158	0.004	0.13	0.006	0.114	0	0.13	0	0.032	0	0.042	0
157	0.25	0.014	0.242	0.008	0.146	0	0.168	0	0.176	0	0.156	0
113	0.044	0	0.046	0	0.024	0.002	0.016	0	0.026	0	0.024	0
153	0.006	0.004	0.008	0.004	0.004	0	0.004	0	0.01	0.002	0.01	0.002
109	0.128	0.022	0.114	0.016	0.074	0.046	0.1	0.044	0.096	0.022	0.072	0.02
137	0.098	0.002	0.076	0.01	0.074	0.002	0.064	0	0.076	0	0.072	0
101	0.032	0	0.038	0	0.026	0	0.022	0	0.026	0	0.022	0
145	0.276	0.014	0.23	0.004	0.32	0	0.35	0	0.344	0.002	0.322	0
189	0.024	0	0.026	0	0.016	0	0.028	0	0.02	0	0.016	0
117	0.112	0.016	0.102	0.022	0.078	0.024	0.066	0.02	0.064	0.008	0.072	0.014
161	0.076	0.002	0.072	0.016	0.066	0.018	0.048	0.014	0.052	0.002	0.062	0.002
169	0.218	0	0.238	0.012	0.214	0	0.236	0	0.18	0	0.16	0
89	0.486	0.058	0.45	0.032	0.39	0.052	0.41	0.044	0.29	0.09	0.33	0.076
149	0.164	0	0.164	0.006	0.106	0	0.098	0	0.078	0.004	0.094	0
129	0.024	0.014	0.036	0.01	0.014	0	0.01	0.002	0.006	0	0.006	0
201	0.128	0.006	0.102	0.004	0.11	0.008	0.088	0	0.05	0.004	0.046	0.004
77	0.046	0.074	0.052	0.136	0.028	0.004	0.04	0.012	0.032	0.004	0.032	0
185	0.034	0	0.036	0.008	0.016	0.002	0.016	0	0.03	0	0.014	0
141	0.102	0.06	0.13	0.026	0.082	0.006	0.082	0.006	0.098	0.004	0.094	0.01
133	0.014	0	0.028	0.002	0.01	0	0.012	0	0.012	0	0.016	0
125	0.182	0.004	0.174	0.012	0.11	0	0.144	0	0.118	0	0.154	0
81	0.042	0.002	0.042	0	0.008	0	0.02	0	0.02	0	0.026	0.002
53	0.196	0.13	0.178	0.166	0.154	0.024	0.134	0.05	0.148	0.01	0.142	0.018
273	0.02	0	0.02	0	0.012	0	0.014	0	0.018	0	0.01	0
