"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
233	0.078	0.006	0.056	0.022	0.056	0	0.064	0	0.046	0	0.028	0
237	0.086	0.08	0.106	0.136	0.094	0.062	0.106	0.072	0.106	0.054	0.102	0.048
221	0.182	0.104	0.184	0.066	0.156	0.022	0.118	0.018	0.146	0.018	0.132	0.02
145	0.608	0.072	0.598	0.218	0.318	0.064	0.298	0.056	0.314	0.056	0.3	0.048
97	0.59	0.368	0.578	0.378	0.448	0.106	0.452	0.132	0.45	0.136	0.418	0.154
205	0.828	0.748	0.86	0.752	0.488	0.306	0.488	0.428	0.506	0.358	0.498	0.352
137	0.002	0	0.008	0.004	0	0.004	0.008	0.002	0.004	0	0.002	0
373	0.08	0.034	0.058	0.012	0.028	0.002	0.046	0	0.028	0.006	0.03	0
257	0.67	0.47	0.64	0.458	0.632	0.274	0.54	0.246	0.614	0.39	0.592	0.3
121	0.156	0.202	0.17	0.228	0.054	0.054	0.06	0.026	0.068	0.062	0.066	0.048
393	0.434	0.866	0.368	0.792	0.264	0.292	0.258	0.21	0.276	0.276	0.274	0.336
1	0.102	0.01	0.126	0.034	0.14	0.044	0.148	0.054	0.142	0.032	0.118	0.07
253	0.086	0.05	0.122	0.094	0.06	0.042	0.04	0.04	0.06	0.022	0.038	0.044
245	0.096	0.028	0.076	0.036	0.108	0.034	0.13	0.04	0.098	0.06	0.128	0.046
77	0.12	0.01	0.142	0.016	0.088	0.004	0.034	0.002	0.082	0	0.074	0.004
57	0.068	0.066	0.072	0.062	0.032	0.002	0.024	0.006	0.034	0.01	0.036	0.01
73	0.086	0.054	0.088	0.102	0.036	0.01	0.028	0.004	0.036	0.004	0.036	0.004
249	0.102	0.056	0.072	0.064	0.174	0.014	0.162	0.016	0.174	0.018	0.142	0.006
17	0.354	0.218	0.386	0.232	0.15	0.03	0.168	0.032	0.182	0.05	0.142	0.044
369	0.98	0.792	0.968	0.894	0.838	0.342	0.856	0.396	0.834	0.284	0.806	0.264
33	0.29	0.084	0.258	0.046	0.158	0.03	0.132	0.012	0.136	0.012	0.106	0.01
45	0.104	0.09	0.082	0.072	0.074	0.012	0.062	0.008	0.068	0.014	0.062	0.018
197	0.054	0.01	0.046	0.002	0.016	0	0.022	0.002	0.02	0	0.022	0
105	0.824	0.386	0.836	0.64	0.494	0.204	0.494	0.2	0.482	0.116	0.506	0.156
41	0.348	0.248	0.354	0.228	0.198	0.036	0.192	0.022	0.2	0.068	0.156	0.046
29	0.252	0.28	0.29	0.302	0.424	0.154	0.448	0.112	0.39	0.168	0.422	0.168
209	0.1	0.064	0.112	0.102	0.052	0.012	0.038	0.002	0.048	0.01	0.058	0.012
161	0.872	0.738	0.854	0.606	0.564	0.324	0.564	0.354	0.586	0.306	0.498	0.248
173	0.786	0.44	0.762	0.414	0.572	0.116	0.554	0.254	0.552	0.182	0.586	0.206
289	0.428	0.286	0.438	0.19	0.338	0.364	0.386	0.406	0.352	0.41	0.386	0.368
189	0.064	0	0.066	0.004	0.044	0	0.024	0	0.044	0.002	0.022	0
101	0.564	0.724	0.536	0.644	0.754	0.804	0.728	0.8	0.658	0.758	0.72	0.82
389	0.508	0.236	0.6	0.19	0.286	0.018	0.262	0.024	0.28	0.018	0.306	0.036
165	0.02	0.058	0.02	0.074	0.018	0.008	0.018	0.022	0.014	0.01	0.018	0.018
241	0.894	0.828	0.876	0.824	0.562	0.228	0.558	0.234	0.55	0.28	0.53	0.222
49	0.028	0.022	0.024	0.002	0.022	0	0.01	0	0.02	0	0.012	0
229	0.058	0.004	0.062	0	0.028	0.002	0.012	0.002	0.036	0	0.026	0
225	0.08	0.008	0.052	0.008	0.054	0	0.032	0.004	0.054	0	0.056	0.002
65	0.06	0	0.036	0.002	0.018	0.002	0.024	0	0.016	0	0.026	0
181	0.85	0.456	0.894	0.534	0.552	0.158	0.5	0.108	0.492	0.156	0.486	0.174
53	0.426	0.476	0.452	0.438	0.27	0.14	0.26	0.196	0.24	0.168	0.258	0.15
193	0.74	0.154	0.732	0.2	0.594	0.042	0.572	0.054	0.63	0.062	0.592	0.074
297	0.77	0.518	0.766	0.568	0.588	0.188	0.588	0.242	0.558	0.134	0.634	0.128
157	0.038	0.026	0.028	0.008	0.014	0	0.012	0	0.01	0	0.012	0.002
477	0.068	0.144	0.076	0.092	0.02	0.02	0.028	0.03	0.026	0.006	0.044	0.016
549	0.44	0.468	0.376	0.442	0.282	0.102	0.208	0.046	0.278	0.076	0.262	0.104
141	0.234	0.086	0.28	0.176	0.128	0.034	0.14	0.024	0.102	0.02	0.114	0.018
37	0.126	0.286	0.102	0.25	0.036	0.036	0.046	0.05	0.046	0.068	0.048	0.038
69	0.306	0.222	0.32	0.09	0.27	0.056	0.256	0.038	0.282	0.024	0.282	0.042
177	0.134	0.15	0.154	0.118	0.08	0.014	0.074	0.018	0.08	0.024	0.076	0.02
109	0.062	0.096	0.068	0.114	0.024	0.01	0.032	0.024	0.032	0.018	0.028	0.008
217	0.09	0.004	0.088	0.008	0.048	0	0.034	0.002	0.03	0.002	0.058	0.002
113	0.102	0.032	0.11	0.046	0.046	0.01	0.07	0.002	0.07	0.004	0.048	0
281	0.124	0.058	0.116	0.11	0.058	0.002	0.06	0.006	0.072	0.008	0.034	0
397	0.53	0.688	0.53	0.702	0.422	0.428	0.404	0.342	0.422	0.43	0.468	0.41
133	0.048	0.002	0.04	0.006	0.012	0.002	0.018	0	0.028	0	0.02	0.002
333	0.188	0.144	0.176	0.122	0.082	0.016	0.084	0.026	0.08	0.022	0.092	0.01
469	0.014	0.002	0.038	0.002	0.016	0	0.012	0	0.008	0	0.022	0
337	0.048	0.08	0.072	0.174	0.02	0.038	0.024	0.04	0.022	0.022	0.018	0.028
301	0.418	0.354	0.382	0.404	0.158	0.162	0.202	0.182	0.198	0.208	0.186	0.068
649	0.412	0.362	0.344	0.248	0.572	0.122	0.51	0.148	0.576	0.056	0.538	0.112
169	0.178	0.034	0.218	0.086	0.086	0.012	0.11	0.008	0.088	0.008	0.096	0.006
117	0.294	0.068	0.254	0.046	0.11	0.004	0.14	0.002	0.098	0.002	0.124	0.006
349	0.498	0.096	0.492	0.194	0.342	0.018	0.33	0.034	0.298	0.048	0.33	0.044
265	0.308	0.044	0.302	0.064	0.132	0.022	0.132	0.01	0.164	0.016	0.154	0.022
213	0.416	0.45	0.41	0.452	0.284	0.35	0.252	0.32	0.268	0.322	0.214	0.242
13	0.058	0.062	0.056	0.044	0.018	0.004	0.02	0.006	0.014	0.002	0.034	0.012
345	0.128	0.402	0.132	0.434	0.284	0.344	0.284	0.358	0.286	0.404	0.298	0.318
329	0.688	0.476	0.728	0.446	0.658	0.436	0.642	0.426	0.654	0.396	0.634	0.36
445	0.734	0.714	0.73	0.652	0.85	0.626	0.86	0.542	0.844	0.558	0.84	0.578
61	0.044	0.006	0.052	0.026	0.026	0	0.02	0	0.012	0.002	0.032	0.004
361	0.156	0.114	0.19	0.118	0.11	0.022	0.054	0.008	0.062	0.014	0.046	0.016
25	0.336	0.046	0.346	0.028	0.352	0.014	0.368	0.014	0.352	0.008	0.366	0.01
85	0.418	0.356	0.406	0.382	0.292	0.092	0.27	0.062	0.278	0.08	0.286	0.108
505	0.132	0.388	0.136	0.286	0.062	0.136	0.038	0.132	0.066	0.168	0.046	0.118
21	0.044	0.002	0.052	0.002	0.022	0	0.01	0	0.038	0.006	0.036	0
153	0.486	0.216	0.49	0.29	0.346	0.316	0.328	0.322	0.356	0.384	0.338	0.31
201	0.67	0.642	0.67	0.784	0.64	0.832	0.622	0.724	0.63	0.804	0.634	0.792
313	0.206	0.108	0.218	0.226	0.154	0.012	0.158	0.054	0.156	0.028	0.15	0.044
277	0.522	0.224	0.472	0.224	0.246	0.144	0.308	0.132	0.278	0.132	0.302	0.116
629	0.444	0.292	0.48	0.374	0.316	0.074	0.314	0.108	0.324	0.064	0.322	0.06
273	0.176	0.05	0.172	0.042	0.086	0.042	0.096	0.016	0.076	0.03	0.084	0.026
441	0.33	0.242	0.282	0.15	0.18	0.032	0.17	0.026	0.204	0.022	0.162	0.022
385	0.176	0.04	0.178	0.094	0.138	0.022	0.172	0.038	0.138	0.008	0.136	0.028
401	0.296	0.38	0.35	0.442	0.192	0.146	0.176	0.148	0.202	0.106	0.2	0.128
185	0.962	0.946	0.95	0.872	0.714	0.482	0.74	0.418	0.724	0.372	0.714	0.398
89	0.824	0.552	0.79	0.684	0.796	0.278	0.82	0.258	0.796	0.246	0.848	0.282
321	0.074	0.054	0.07	0.046	0.042	0.004	0.034	0.018	0.066	0.02	0.052	0.006
605	0.184	0.31	0.16	0.222	0.482	0.566	0.47	0.504	0.432	0.578	0.494	0.548
9	0.616	0.312	0.614	0.25	0.526	0.096	0.522	0.068	0.52	0.106	0.536	0.092
1181	0.406	0.256	0.41	0.294	0.162	0.074	0.216	0.098	0.156	0.068	0.168	0.072
93	0.032	0.024	0.034	0.018	0.01	0.002	0.008	0.004	0.016	0.01	0.012	0.008
269	0.514	0.218	0.514	0.268	0.28	0.176	0.294	0.234	0.288	0.108	0.286	0.202
453	0.168	0.006	0.176	0.004	0.068	0.002	0.07	0	0.074	0.004	0.082	0.008
353	0.614	0.58	0.614	0.66	0.658	0.9	0.69	0.868	0.682	0.91	0.692	0.846
405	0.074	0.004	0.058	0	0.022	0	0.024	0	0.03	0	0.026	0
437	0.632	0.968	0.69	0.97	0.376	0.478	0.364	0.506	0.37	0.546	0.396	0.466
125	0.082	0.03	0.086	0.04	0.048	0.006	0.05	0.002	0.052	0.012	0.028	0.002
285	0.656	0.202	0.614	0.134	0.384	0.074	0.366	0.082	0.348	0.078	0.384	0.022
381	0.038	0.09	0.018	0.036	0.008	0.006	0.008	0.018	0.006	0.01	0.01	0.008
81	0.78	0.77	0.796	0.878	0.484	0.268	0.444	0.262	0.466	0.27	0.438	0.38
325	0.036	0.024	0.04	0.12	0.04	0.036	0.046	0.038	0.026	0.04	0.048	0.042
709	0.51	0.786	0.52	0.772	0.31	0.478	0.254	0.396	0.276	0.432	0.276	0.388
697	0.114	0.054	0.09	0.026	0.042	0.004	0.044	0.006	0.058	0.002	0.06	0.016
729	0.176	0.084	0.178	0.076	0.102	0.006	0.072	0.01	0.122	0.012	0.12	0.014
129	0.22	0.04	0.274	0.094	0.126	0.006	0.11	0	0.12	0.004	0.096	0.002
365	0.122	0.086	0.118	0.076	0.082	0.022	0.068	0.01	0.092	0.036	0.066	0.014
357	0.162	0.162	0.182	0.268	0.098	0.022	0.084	0.034	0.078	0.038	0.094	0.02
585	0.122	0.054	0.126	0.014	0.19	0	0.156	0.002	0.152	0.006	0.156	0.004
689	0.29	0.198	0.332	0.134	0.358	0.068	0.344	0.076	0.36	0.056	0.32	0.056
493	0.278	0.094	0.27	0.13	0.174	0.12	0.174	0.12	0.12	0.068	0.166	0.144
5	0.108	0.076	0.108	0.1	0.082	0.012	0.086	0.026	0.1	0.032	0.092	0.028
461	0.218	0.046	0.17	0.062	0.12	0.068	0.108	0.038	0.102	0.052	0.116	0.044
785	0.12	0.014	0.102	0.01	0.096	0.002	0.066	0.004	0.07	0.01	0.064	0.004
637	0.008	0.012	0.014	0.01	0.02	0.006	0.02	0.022	0.012	0.004	0.012	0.004
793	0.158	0.178	0.134	0.168	0.056	0.018	0.066	0.022	0.056	0.022	0.07	0.022
621	0.132	0.382	0.142	0.426	0.07	0.07	0.09	0.08	0.088	0.092	0.062	0.062
149	0.548	0.26	0.498	0.246	0.334	0.074	0.318	0.198	0.326	0.09	0.318	0.196
529	0.078	0.026	0.076	0.052	0.012	0.002	0.032	0.002	0.024	0.002	0.04	0.006
485	0.338	0.104	0.372	0.14	0.41	0.044	0.402	0.036	0.406	0.032	0.398	0.034
305	0.024	0.046	0.044	0.044	0.016	0.01	0.012	0.01	0.014	0.008	0.014	0.012
341	0.248	0.052	0.22	0.104	0.178	0.02	0.154	0	0.178	0.022	0.158	0.016
705	0.284	0.256	0.28	0.226	0.198	0.054	0.222	0.098	0.222	0.038	0.216	0.042
737	0.232	0.17	0.228	0.17	0.174	0.014	0.178	0.02	0.17	0.038	0.176	0.012
693	0.178	0.036	0.144	0.026	0.072	0.008	0.064	0.006	0.068	0.002	0.07	0.004
685	0.292	0.134	0.312	0.24	0.374	0.03	0.33	0.052	0.374	0.026	0.382	0.04
565	0.538	0.242	0.502	0.192	0.564	0.062	0.56	0.052	0.548	0.03	0.528	0.074
561	0.666	0.52	0.594	0.538	0.284	0.112	0.366	0.134	0.338	0.134	0.342	0.122
317	0.006	0.022	0.014	0.028	0.004	0.002	0.006	0.014	0.002	0.002	0.002	0.008
701	0.382	0.218	0.328	0.11	0.26	0.02	0.222	0.008	0.186	0.012	0.186	0.016
409	0.05	0.016	0.062	0.03	0.034	0.006	0.032	0.006	0.026	0.002	0.024	0.006
773	0.344	0.17	0.36	0.266	0.146	0.042	0.144	0.044	0.168	0.04	0.17	0.028
557	0.078	0.02	0.082	0.042	0.066	0.02	0.07	0.016	0.064	0	0.056	0.008
449	0.056	0.02	0.034	0.006	0.014	0	0.022	0	0.034	0.002	0.022	0
757	0.286	0.452	0.344	0.418	0.146	0.072	0.162	0.06	0.174	0.068	0.148	0.088
797	0.076	0.07	0.052	0.02	0.104	0.094	0.082	0.046	0.056	0.046	0.084	0.058
753	0.146	0.3	0.166	0.264	0.154	0.022	0.156	0.018	0.154	0.04	0.142	0.02
417	0.19	0.106	0.202	0.216	0.082	0.01	0.094	0.026	0.082	0.026	0.102	0.02
465	0.628	0.252	0.59	0.194	0.316	0.066	0.308	0.06	0.332	0.042	0.302	0.036
633	0.012	0.03	0.034	0.01	0.01	0.002	0.01	0.002	0.018	0.006	0.012	0
1161	0.228	0.112	0.226	0.154	0.304	0.412	0.25	0.354	0.288	0.324	0.276	0.322
