"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
393	0.688	0.948	0.702	0.932	0.402	0.6	0.44	0.71	0.402	0.594	0.398	0.594
373	0.12	0.038	0.088	0.006	0.034	0.002	0.064	0.002	0.034	0.004	0.042	0
29	0.28	0.166	0.238	0.208	0.412	0.368	0.42	0.316	0.412	0.254	0.408	0.262
33	0.342	0.044	0.37	0.068	0.172	0.038	0.226	0.028	0.172	0.034	0.206	0.008
137	0.008	0.004	0.006	0.006	0.008	0	0.006	0.006	0.008	0.004	0.008	0.002
1	0.228	0.07	0.218	0.056	0.194	0.012	0.208	0.016	0.194	0.016	0.162	0.01
45	0.18	0.102	0.212	0.05	0.108	0.136	0.108	0.126	0.108	0.166	0.114	0.14
121	0.222	0.282	0.222	0.302	0.106	0.106	0.116	0.082	0.106	0.132	0.098	0.158
17	0.444	0.276	0.414	0.328	0.18	0.062	0.196	0.066	0.18	0.048	0.194	0.034
41	0.55	0.402	0.5	0.236	0.362	0.178	0.332	0.2	0.362	0.148	0.31	0.184
57	0.116	0.066	0.146	0.136	0.048	0.012	0.044	0.02	0.048	0.016	0.056	0.034
205	0.952	0.786	0.954	0.802	0.838	0.374	0.854	0.464	0.838	0.416	0.876	0.342
73	0.172	0.032	0.182	0.06	0.096	0.038	0.07	0.032	0.096	0.02	0.084	0.032
389	0.684	0.3	0.656	0.278	0.412	0.05	0.422	0.068	0.412	0.048	0.404	0.054
289	0.554	0.534	0.546	0.478	0.678	0.64	0.702	0.646	0.678	0.598	0.672	0.598
369	0.952	0.982	0.972	0.984	0.812	0.31	0.808	0.392	0.812	0.412	0.794	0.428
37	0.096	0.388	0.112	0.344	0.044	0.082	0.042	0.102	0.044	0.09	0.06	0.082
21	0.138	0.014	0.11	0.002	0.058	0	0.03	0	0.058	0	0.038	0
13	0.054	0.058	0.072	0.032	0.018	0.002	0.02	0	0.018	0.006	0.032	0.028
249	0.152	0.174	0.168	0.18	0.112	0.046	0.118	0.034	0.112	0.034	0.128	0.028
257	0.782	0.478	0.716	0.422	0.818	0.51	0.768	0.532	0.818	0.604	0.814	0.658
49	0.04	0	0.034	0.004	0.012	0	0.012	0	0.012	0.002	0.03	0.004
9	0.7	0.584	0.752	0.596	0.714	0.202	0.676	0.26	0.714	0.182	0.672	0.232
53	0.432	0.688	0.546	0.608	0.408	0.306	0.406	0.328	0.408	0.24	0.394	0.286
85	0.6	0.498	0.546	0.56	0.544	0.12	0.514	0.114	0.544	0.188	0.484	0.192
77	0.19	0.022	0.216	0.028	0.11	0.008	0.092	0.002	0.11	0.012	0.084	0.02
337	0.058	0.098	0.044	0.08	0.024	0.04	0.026	0.02	0.024	0.04	0.026	0.028
649	0.3	0.166	0.274	0.218	0.756	0.158	0.754	0.15	0.756	0.126	0.736	0.114
145	0.696	0.272	0.704	0.288	0.368	0.11	0.41	0.104	0.368	0.142	0.42	0.07
25	0.516	0.15	0.456	0.164	0.428	0.032	0.422	0.034	0.428	0.028	0.422	0.054
209	0.164	0.082	0.204	0.086	0.084	0.01	0.096	0.028	0.084	0.012	0.114	0.004
361	0.244	0.154	0.264	0.164	0.116	0.048	0.132	0.056	0.116	0.066	0.082	0.04
97	0.622	0.658	0.636	0.664	0.46	0.154	0.436	0.176	0.46	0.206	0.444	0.146
81	0.858	0.764	0.852	0.822	0.56	0.468	0.584	0.454	0.56	0.434	0.538	0.404
69	0.48	0.436	0.498	0.504	0.5	0.072	0.492	0.084	0.5	0.096	0.496	0.126
217	0.108	0.014	0.128	0.012	0.042	0.002	0.048	0.002	0.042	0	0.058	0.002
233	0.066	0	0.084	0.004	0.054	0	0.066	0.002	0.054	0	0.04	0
189	0.086	0.008	0.078	0.008	0.052	0.004	0.048	0.004	0.052	0	0.03	0
365	0.172	0.094	0.148	0.06	0.102	0.052	0.102	0.058	0.102	0.052	0.07	0.012
333	0.25	0.11	0.216	0.24	0.098	0.018	0.088	0.034	0.098	0.034	0.088	0.01
177	0.212	0.116	0.198	0.096	0.116	0.024	0.08	0.022	0.116	0.028	0.132	0.02
297	0.896	0.898	0.894	0.85	0.778	0.456	0.774	0.328	0.778	0.534	0.768	0.404
161	0.726	0.408	0.766	0.394	0.424	0.482	0.434	0.352	0.424	0.306	0.416	0.322
105	0.798	0.682	0.782	0.708	0.514	0.356	0.494	0.33	0.514	0.33	0.488	0.35
197	0.08	0.002	0.088	0.008	0.056	0.002	0.056	0.002	0.056	0.008	0.068	0.006
61	0.066	0.05	0.062	0.004	0.028	0.004	0.016	0.002	0.028	0.004	0.036	0.004
345	0.212	0.312	0.174	0.26	0.384	0.424	0.362	0.484	0.384	0.576	0.362	0.58
65	0.066	0.002	0.09	0.004	0.03	0	0.032	0.002	0.03	0	0.046	0.002
89	0.76	0.564	0.752	0.574	0.91	0.55	0.92	0.57	0.91	0.522	0.934	0.478
349	0.794	0.374	0.768	0.366	0.47	0.052	0.496	0.02	0.47	0.034	0.476	0.032
265	0.316	0.042	0.352	0.054	0.168	0.01	0.156	0.016	0.168	0.006	0.168	0.024
5	0.164	0.212	0.176	0.22	0.094	0.018	0.098	0.054	0.094	0.072	0.104	0.044
245	0.116	0.08	0.09	0.104	0.21	0.102	0.198	0.11	0.21	0.106	0.188	0.136
193	0.918	0.552	0.914	0.546	0.7	0.136	0.664	0.102	0.7	0.1	0.674	0.082
377	0.51	0.21	0.5	0.292	0.24	0.112	0.298	0.142	0.24	0.14	0.284	0.1
253	0.08	0.008	0.084	0.002	0.122	0.072	0.11	0.09	0.122	0.032	0.126	0.084
141	0.372	0.166	0.398	0.128	0.184	0.034	0.208	0.064	0.184	0.04	0.172	0.046
237	0.126	0.114	0.094	0.042	0.18	0.072	0.178	0.05	0.18	0.062	0.178	0.108
93	0.046	0.026	0.046	0.026	0.02	0.008	0.016	0.006	0.02	0.01	0.02	0.006
381	0.044	0.064	0.046	0.092	0.01	0.018	0.034	0.026	0.01	0.006	0.02	0.022
273	0.294	0.168	0.348	0.07	0.132	0.01	0.168	0.024	0.132	0.014	0.134	0.028
101	0.608	0.654	0.6	0.624	0.904	0.954	0.904	0.936	0.904	0.924	0.906	0.938
785	0.122	0.04	0.122	0.014	0.096	0.002	0.078	0.002	0.096	0.012	0.092	0.008
453	0.282	0.038	0.292	0.014	0.12	0.012	0.116	0.006	0.12	0.01	0.114	0.008
169	0.356	0.142	0.32	0.104	0.16	0.018	0.144	0.032	0.16	0.036	0.138	0.046
229	0.116	0.022	0.102	0.022	0.044	0.004	0.046	0.012	0.044	0.002	0.046	0
157	0.08	0.02	0.038	0.01	0.028	0.004	0.034	0	0.028	0.004	0.032	0.004
301	0.448	0.308	0.442	0.396	0.294	0.124	0.304	0.132	0.294	0.126	0.278	0.176
281	0.198	0.018	0.234	0.064	0.12	0.04	0.098	0.016	0.12	0.024	0.122	0.01
445	0.864	0.842	0.83	0.83	0.894	0.842	0.89	0.842	0.894	0.838	0.872	0.832
401	0.516	0.534	0.51	0.57	0.4	0.394	0.4	0.47	0.4	0.378	0.38	0.372
505	0.13	0.238	0.148	0.232	0.056	0.132	0.07	0.18	0.056	0.15	0.052	0.176
793	0.254	0.206	0.266	0.254	0.142	0.032	0.112	0.064	0.142	0.052	0.116	0.062
605	0.346	0.612	0.34	0.66	0.66	0.83	0.654	0.692	0.66	0.782	0.65	0.722
441	0.214	0.184	0.164	0.072	0.39	0.03	0.322	0.074	0.39	0.034	0.314	0.074
125	0.128	0.038	0.114	0.036	0.056	0.014	0.088	0.006	0.056	0.014	0.076	0.01
213	0.562	0.594	0.574	0.542	0.364	0.464	0.39	0.368	0.364	0.378	0.354	0.5
549	0.556	0.424	0.53	0.38	0.354	0.17	0.348	0.086	0.354	0.082	0.39	0.102
321	0.132	0.136	0.11	0.108	0.052	0.018	0.08	0.026	0.052	0.028	0.064	0.012
405	0.07	0	0.066	0	0.04	0	0.028	0.002	0.04	0.004	0.046	0
225	0.142	0.016	0.118	0.008	0.11	0.004	0.104	0.01	0.11	0.004	0.116	0.008
241	0.96	0.932	0.972	0.888	0.718	0.56	0.754	0.51	0.718	0.542	0.746	0.544
285	0.752	0.268	0.754	0.274	0.396	0.132	0.468	0.108	0.396	0.038	0.47	0.126
325	0.07	0.076	0.082	0.048	0.052	0.042	0.056	0.058	0.052	0.048	0.066	0.04
221	0.246	0.148	0.218	0.096	0.238	0.066	0.256	0.058	0.238	0.042	0.216	0.084
561	0.724	0.43	0.702	0.386	0.532	0.208	0.484	0.162	0.532	0.262	0.474	0.26
201	0.724	0.666	0.732	0.676	0.836	0.924	0.82	0.932	0.836	0.946	0.848	0.936
385	0.27	0.258	0.23	0.26	0.256	0.068	0.29	0.056	0.256	0.052	0.238	0.058
173	0.8	0.412	0.796	0.356	0.712	0.222	0.69	0.336	0.712	0.252	0.668	0.186
133	0.098	0.018	0.09	0.006	0.036	0	0.044	0.004	0.036	0.004	0.028	0.004
113	0.142	0.032	0.168	0.044	0.06	0.01	0.108	0.012	0.06	0.01	0.092	0.006
313	0.374	0.228	0.36	0.284	0.24	0.114	0.284	0.152	0.24	0.068	0.294	0.09
437	0.712	0.954	0.79	0.976	0.428	0.774	0.52	0.71	0.428	0.72	0.504	0.728
277	0.726	0.44	0.732	0.41	0.474	0.096	0.516	0.108	0.474	0.064	0.504	0.086
329	0.65	0.65	0.66	0.654	0.79	0.574	0.81	0.504	0.79	0.414	0.794	0.486
541	0.138	0.008	0.154	0.038	0.194	0.034	0.164	0.054	0.194	0.078	0.164	0.042
477	0.066	0.108	0.06	0.088	0.026	0.014	0.032	0.03	0.026	0.008	0.046	0.01
357	0.222	0.18	0.31	0.352	0.118	0.046	0.136	0.076	0.118	0.05	0.148	0.078
269	0.608	0.306	0.592	0.306	0.43	0.188	0.426	0.296	0.43	0.224	0.416	0.272
633	0.036	0.006	0.032	0.014	0.026	0	0.02	0.004	0.026	0.006	0.018	0.006
117	0.394	0.068	0.432	0.056	0.182	0.014	0.184	0.004	0.182	0.012	0.188	0.006
153	0.548	0.656	0.55	0.57	0.28	0.434	0.328	0.414	0.28	0.494	0.298	0.556
665	0.05	0.032	0.064	0.068	0.03	0.04	0.01	0.012	0.03	0.026	0.026	0.004
637	0.012	0.004	0.016	0.008	0.004	0.006	0.02	0.014	0.004	0.004	0.022	0.024
565	0.508	0.53	0.554	0.504	0.718	0.128	0.664	0.194	0.718	0.14	0.702	0.208
165	0.06	0.104	0.052	0.13	0.014	0.044	0.026	0.016	0.014	0.03	0.022	0.034
109	0.098	0.178	0.104	0.122	0.05	0.028	0.038	0.032	0.05	0.026	0.05	0.038
353	0.68	0.792	0.732	0.724	0.564	0.878	0.572	0.896	0.564	0.872	0.604	0.854
597	0.538	0.644	0.52	0.556	0.386	0.486	0.448	0.472	0.386	0.426	0.468	0.558
185	0.97	0.928	0.97	0.926	0.81	0.462	0.824	0.534	0.81	0.522	0.81	0.492
485	0.754	0.402	0.708	0.354	0.596	0.076	0.522	0.102	0.596	0.064	0.534	0.086
181	0.946	0.544	0.934	0.632	0.672	0.3	0.656	0.258	0.672	0.24	0.652	0.288
129	0.436	0.2	0.464	0.126	0.238	0.02	0.212	0.012	0.238	0.018	0.212	0.014
417	0.282	0.18	0.31	0.176	0.156	0.034	0.156	0.034	0.156	0.046	0.154	0.052
501	0.55	0.59	0.528	0.498	0.266	0.204	0.268	0.206	0.266	0.126	0.23	0.192
