"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
1	0.056	0.012	0.052	0.012	0.034	0	0.026	0	0.034	0	0.016	0.002
5	0.076	0	0.092	0	0.042	0	0.05	0	0.042	0	0.038	0.002
89	0.024	0.002	0.026	0.004	0.004	0	0.008	0	0.004	0	0.01	0
217	0.07	0.004	0.08	0.002	0.03	0.004	0.02	0.004	0.03	0.006	0.028	0.004
61	0.374	0.094	0.322	0.05	0.4	0.028	0.428	0.038	0.4	0.038	0.414	0.024
241	0.162	0.004	0.188	0.02	0.128	0.004	0.084	0	0.128	0.002	0.086	0.002
49	0.06	0.042	0.058	0.064	0.022	0.014	0.044	0.03	0.022	0.014	0.036	0.032
229	0.038	0	0.066	0	0.038	0	0.044	0	0.038	0	0.052	0
93	0.186	0.044	0.168	0.058	0.066	0.002	0.108	0	0.066	0.004	0.092	0
117	0.066	0	0.062	0	0.028	0	0.028	0	0.028	0	0.054	0
189	0.062	0.018	0.082	0.046	0.074	0.014	0.048	0.028	0.074	0.004	0.062	0.006
45	0.098	0.008	0.086	0.006	0.07	0.002	0.052	0	0.07	0	0.058	0.002
225	0.108	0	0.096	0	0.07	0	0.052	0	0.07	0	0.056	0
121	0.208	0.026	0.236	0.028	0.17	0.002	0.174	0.012	0.17	0.01	0.176	0.012
129	0.108	0.01	0.102	0.008	0.038	0.002	0.054	0.006	0.038	0.004	0.048	0.002
289	0.066	0.008	0.058	0.008	0.026	0.002	0.022	0	0.026	0.004	0.024	0.002
9	0.004	0	0.006	0	0.018	0	0.012	0	0.018	0	0.012	0
53	0.05	0.01	0.042	0.004	0.018	0.002	0.034	0	0.018	0.004	0.018	0
81	0.206	0.016	0.202	0.016	0.104	0.004	0.11	0.004	0.104	0.012	0.132	0.006
145	0.052	0	0.038	0	0.03	0.002	0.028	0	0.03	0.002	0.022	0
153	0.594	0.792	0.558	0.7	0.582	0.374	0.544	0.202	0.582	0.314	0.562	0.24
205	0.05	0.006	0.068	0.022	0.046	0.004	0.034	0.004	0.046	0	0.062	0
101	0.338	0.026	0.304	0.016	0.166	0.004	0.186	0.02	0.166	0.012	0.196	0.014
193	0.256	0.018	0.212	0.004	0.104	0.01	0.116	0.004	0.104	0.004	0.11	0.002
33	0.03	0.002	0.04	0	0.022	0	0.034	0	0.022	0	0.04	0
245	0.034	0.006	0.028	0.008	0.03	0.004	0.012	0.006	0.03	0.008	0.034	0.024
445	0.036	0	0.042	0	0.01	0	0.008	0	0.01	0	0.012	0
313	0.066	0.006	0.086	0.002	0.026	0.002	0.034	0.002	0.026	0	0.044	0.008
161	0.282	0.118	0.258	0.074	0.292	0.168	0.294	0.182	0.292	0.17	0.282	0.18
105	0.79	0.502	0.84	0.504	0.592	0.072	0.58	0.064	0.592	0.068	0.548	0.068
177	0.06	0.008	0.046	0.004	0.012	0	0.014	0	0.012	0.004	0.016	0
521	0.038	0.012	0.032	0.016	0.028	0.014	0.018	0.004	0.028	0.01	0.038	0.008
97	0.076	0.004	0.086	0.02	0.066	0.002	0.038	0	0.066	0.002	0.054	0
257	0.194	0.04	0.186	0.042	0.106	0.03	0.11	0.002	0.106	0.01	0.088	0.026
13	0.082	0	0.072	0.004	0.104	0.004	0.076	0.006	0.104	0.006	0.11	0.014
249	0.016	0.002	0.008	0.002	0.022	0	0.034	0	0.022	0	0.018	0
305	0.17	0.066	0.198	0.064	0.132	0.006	0.17	0.038	0.132	0.02	0.122	0.024
25	0.046	0.018	0.036	0.002	0.032	0	0.028	0.002	0.032	0.002	0.022	0
