"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
121	0.902	0.934	0.89	0.946	0.672	0.828	0.674	0.812	0.55	0.804	0.594	0.83
377	0.58	0.632	0.578	0.666	0.302	0.456	0.332	0.546	0.392	0.384	0.368	0.414
273	0.978	0.848	0.986	0.846	0.964	0.928	0.958	0.93	0.928	0.904	0.932	0.914
217	0.556	0.558	0.514	0.584	0.434	0.162	0.44	0.184	0.124	0.072	0.118	0.05
301	0.728	0.744	0.704	0.82	0.374	0.19	0.434	0.218	0.388	0.268	0.536	0.262
261	0.64	0.356	0.608	0.274	0.344	0.118	0.314	0.136	0.2	0.074	0.2	0.06
233	0.736	0.422	0.788	0.48	0.434	0.084	0.406	0.124	0.494	0.144	0.548	0.19
41	0.302	0.12	0.27	0.076	0.414	0.046	0.42	0.056	0.116	0.028	0.122	0.024
285	0.672	0.61	0.714	0.638	0.87	0.496	0.84	0.518	0.938	0.848	0.936	0.828
205	0.742	0.632	0.712	0.694	0.87	0.566	0.84	0.532	0.93	0.648	0.926	0.644
317	0.674	0.496	0.65	0.596	0.806	0.42	0.816	0.308	0.928	0.848	0.924	0.824
393	0.224	0.436	0.318	0.43	0.358	0.118	0.398	0.158	0.596	0.168	0.582	0.146
265	0.618	0.19	0.574	0.15	0.3	0.032	0.286	0.046	0.406	0.036	0.404	0.056
125	0.076	0.212	0.088	0.21	0.034	0.03	0.066	0.044	0.01	0.006	0.004	0
29	0.808	0.446	0.836	0.378	0.534	0.816	0.462	0.772	0.516	0.354	0.504	0.306
61	0.59	0.432	0.57	0.522	0.428	0.098	0.39	0.132	0.54	0.2	0.564	0.3
177	0.91	0.884	0.92	0.824	0.704	0.602	0.714	0.574	0.92	0.894	0.878	0.85
25	0.836	0.684	0.86	0.726	0.514	0.394	0.55	0.41	0.618	0.546	0.644	0.418
369	0.798	0.504	0.756	0.544	0.616	0.512	0.622	0.476	0.1	0.01	0.118	0.022
105	0.132	0.212	0.124	0.294	0.07	0.174	0.068	0.174	0.464	0.34	0.464	0.37
353	0.04	0.03	0.054	0.044	0.032	0.048	0.07	0.08	0.052	0.072	0.06	0.07
65	0.66	0.446	0.68	0.5	0.342	0.17	0.348	0.166	0.126	0.094	0.158	0.148
249	0.896	0.892	0.948	0.936	0.86	0.292	0.82	0.314	0.92	0.568	0.86	0.588
57	0.77	0.468	0.786	0.556	0.486	0.314	0.522	0.366	0.548	0.148	0.562	0.086
45	0.158	0.146	0.132	0.144	0.084	0.064	0.088	0.046	0.516	0.4	0.47	0.416
245	0.452	0.32	0.498	0.374	0.306	0.24	0.376	0.314	0.46	0.054	0.356	0.05
397	0.296	0.144	0.272	0.146	0.4	0.296	0.404	0.282	0.388	0.254	0.456	0.35
357	0.314	0.21	0.318	0.236	0.144	0.082	0.148	0.084	0.254	0.112	0.212	0.064
113	0.454	0.264	0.51	0.442	0.364	0.172	0.372	0.234	0.376	0.13	0.394	0.09
373	0.666	0.884	0.672	0.85	0.246	0.322	0.31	0.39	0.418	0.452	0.432	0.444
93	0.872	0.944	0.882	0.932	0.512	0.83	0.544	0.824	0.582	0.788	0.6	0.786
81	0.736	0.614	0.766	0.692	0.46	0.218	0.476	0.122	0.49	0.144	0.51	0.168
321	0.304	0.176	0.3	0.224	0.158	0.192	0.126	0.202	0.126	0.196	0.136	0.204
381	0.684	0.686	0.724	0.664	0.622	0.294	0.604	0.308	0.696	0.29	0.694	0.394
325	0.764	0.434	0.73	0.394	0.428	0.148	0.454	0.186	0.638	0.208	0.696	0.262
349	0.61	0.314	0.598	0.31	0.4	0.03	0.338	0.08	0.404	0.054	0.386	0.07
85	0.864	0.694	0.868	0.534	0.596	0.174	0.54	0.17	0.722	0.444	0.708	0.374
453	0.628	0.492	0.682	0.458	0.348	0.148	0.346	0.184	0.41	0.118	0.436	0.132
589	0.746	0.626	0.764	0.426	0.898	0.744	0.874	0.756	0.508	0.066	0.564	0.08
69	0.846	0.5	0.842	0.554	0.642	0.308	0.674	0.4	0.69	0.33	0.746	0.384
333	0.342	0.376	0.364	0.364	0.352	0.458	0.374	0.472	0.472	0.382	0.494	0.352
209	0.088	0.032	0.094	0.046	0.05	0.01	0.034	0.024	0.042	0.002	0.04	0.016
329	0.05	0.014	0.06	0.014	0.044	0.002	0.028	0.002	0.018	0.004	0.05	0.002
181	0.556	0.506	0.638	0.55	0.76	0.208	0.668	0.156	0.464	0.254	0.452	0.208
345	0.76	0.602	0.756	0.556	0.452	0.196	0.458	0.326	0.32	0.07	0.288	0.066
1	0.606	0.304	0.592	0.192	0.312	0.054	0.29	0.054	0.354	0.1	0.346	0.054
49	0.592	0.208	0.556	0.166	0.326	0.04	0.32	0.058	0.182	0.032	0.212	0.044
137	0.492	0.188	0.444	0.166	0.216	0.016	0.206	0.034	0.072	0.02	0.08	0.012
277	0.256	0.702	0.222	0.544	0.256	0.224	0.248	0.218	0.82	0.394	0.85	0.318
13	0.076	0.02	0.09	0.018	0.046	0.004	0.07	0.004	0.042	0.01	0.05	0.002
601	0.622	0.784	0.74	0.736	0.49	0.758	0.532	0.802	0.57	0.662	0.632	0.758
197	0.53	0.406	0.56	0.422	0.29	0.1	0.306	0.1	0.242	0.146	0.186	0.084
637	0.734	0.696	0.772	0.626	0.408	0.228	0.478	0.378	0.562	0.246	0.6	0.316
609	0.228	0.128	0.264	0.118	0.114	0.014	0.13	0.044	0.102	0.03	0.112	0.022
289	0.782	0.472	0.822	0.516	0.742	0.38	0.702	0.416	0.802	0.78	0.764	0.712
733	0.846	0.508	0.866	0.474	0.488	0.17	0.506	0.176	0.248	0.176	0.25	0.26
225	0.314	0.55	0.288	0.488	0.114	0.11	0.132	0.18	0.134	0.204	0.162	0.25
313	0.608	0.678	0.538	0.768	0.566	0.486	0.55	0.378	0.65	0.388	0.662	0.47
309	0.094	0.074	0.098	0.066	0.21	0.236	0.202	0.274	0.222	0.288	0.288	0.326
793	0.556	0.466	0.586	0.348	0.36	0.158	0.38	0.24	0.384	0.318	0.372	0.322
141	0.734	0.326	0.754	0.308	0.862	0.672	0.85	0.62	0.862	0.658	0.882	0.65
269	0.618	0.7	0.588	0.684	0.44	0.34	0.462	0.286	0.292	0.102	0.336	0.124
461	0.688	0.866	0.73	0.856	0.878	0.47	0.884	0.396	0.206	0.308	0.222	0.288
705	0.664	0.492	0.658	0.538	0.626	0.174	0.608	0.158	0.768	0.266	0.71	0.222
257	0.662	0.368	0.676	0.396	0.898	0.434	0.876	0.47	0.228	0.104	0.306	0.082
597	0.436	0.436	0.454	0.278	0.286	0.192	0.258	0.164	0.17	0.028	0.194	0.024
169	0.512	0.434	0.534	0.488	0.436	0.434	0.442	0.368	0.516	0.31	0.52	0.242
757	0.354	0.2	0.292	0.21	0.288	0.126	0.244	0.184	0.31	0.13	0.278	0.148
649	0.276	0.854	0.322	0.87	0.158	0.304	0.19	0.306	0.166	0.198	0.25	0.31
645	0.322	0.42	0.314	0.448	0.328	0.526	0.246	0.418	0.288	0.472	0.278	0.434
